#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
63372128,6.85446675239226,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.40878418130947,-122.39509818072402,"3.8103710357111096,100"
33405884,3.6527514010778988,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.73109595004262,-119.33752207757728,"10.898295246607777,100"
46603046,2.228786787711013,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.2204828576722,-122.59084520786303,"13.95267176520614,100"
18695908,4.8398651176816525,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.91061643551595,-120.08969031613869,"26.141212355436807,100"
34156698,6.1423725978385315,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.1835678726731,-122.78472749625126,"22.235867734351388,100"
56479419,7.420886771718151,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.506388425448776,-122.20039787894795,"12.211760224150256,100"
44405626,4.477098977560071,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.9264310058314,-121.62565434390294,"9.442331651718627,100"
52160826,2.881702792252364,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.52177731588695,-120.67196006505786,"17.12605398182379,100"
66692476,3.8789514623616785,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.48522684646903,-124.12472753089126,"17.713267786621373,100"
21998566,4.660204824006924,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.61921706168799,-122.00436459709502,"8.61638732419873,100"
56818794,7.123915637081515,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.64420522298634,-121.24469382690349,"7.6848026850978695,100"
18949795,1.8174352112600163,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.27706901311401,-119.52222696675575,"0.02572731667703631,100"
40431597,5.9300918542485785,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.7787039332137,-124.31290793166076,"18.368118968908796,100"
33383979,8.171890419416453,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.50858799738036,-121.8139475710741,"20.484097605056114,100"
47247944,5.180388710152996,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.0603801787616,-123.93080908667824,"16.01229300495107,100"
30334057,3.4099197014105864,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.89349746150209,-123.5529375614701,"14.46400122180658,100"
58903451,0.02680671642655795,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.747876139147145,-124.69279352628888,"14.974408079352498,100"
22240813,1.2853346855659165,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.154265133116866,-123.74474475834468,"19.74540737751205,100"
55406265,6.60599967356929,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.08307056640204,-124.8864992478866,"12.823525891770348,100"
53654600,8.696555056596422,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.58963147279101,-121.05508777953276,"10.193691838359763,100"
34555077,5.733049757401249,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.39336022104068,-120.28175126617225,"5.42100153094243,100"
14520622,2.577942324856214,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.83857486642155,-119.9029793507531,"19.02339120829563,100"
12396467,5.3559381033634565,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.02875393049803,-121.43063858161733,"16.56408529729021,100"
