#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
48349640,6.60951115371911,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.169042820241,-122.2716651400226,"9.424006811166082,100"
36424111,5.605947318916345,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.60514972212738,-122.44986242532809,"20.82506426171418,100"
28923868,5.691974192940768,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.804335948836524,-124.88572445840217,"18.11127350879771,100"
30323179,6.214148311586172,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.296915410237354,-122.68648406172511,"22.852692025218705,100"
18066859,4.862431542367856,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.58510203231396,-121.79821639563343,"15.436464282263266,100"
52665671,2.392569274046406,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.037243486053576,-122.54155399213658,"3.541969939363101,100"
62091634,3.056542476828004,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.85385790239139,-120.52071091042244,"4.3722269361848705,100"
33193498,3.982614031945965,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.67059141151608,-123.0664612420023,"7.577035120150352,100"
23316495,4.932233275493866,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.648934097440076,-121.29311784474335,"13.38543704877532,100"
37485185,4.4043554572699515,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.47504103507731,-122.35915721938356,"7.169744216324059,100"
17856396,2.2439124915993642,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.439602104135034,-120.60653679248819,"11.011944773693008,100"
16584938,4.1565834477025705,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.42153005273266,-120.83445128605968,"6.211431438258517,100"
35783774,2.935244319766279,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.83353577057008,-121.84200432997767,"16.128812529215686,100"
61131232,4.5591690070131206,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.75392824378677,-121.19143297674906,"10.707998400469256,100"
47787546,5.071015020998258,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.61427348568209,-119.86966291988384,"7.996701138318248,100"
39285949,2.5378254987418583,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.27353965716402,-122.22607410006673,"0.00788843161662296,100"
11956373,5.854983841929972,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.477467603584174,-122.83920420371419,"15.896919916928837,100"
43263514,0.868084372685865,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.43634238348302,-120.42531640143885,"10.094402760159127,100"
43252815,2.676481282890882,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.256234022336926,-120.05129931979921,"13.870426082978819,100"
27657272,3.2842781502438423,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.811254766231386,-122.1423642561967,"19.236530797561734,100"
18604195,8.807183594809999,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.27281663851519,-123.71511339807026,"12.385026194925295,100"
12241335,4.998933734014498,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.01330758690779,-120.89910499923755,"17.08809474962466,100"
44620121,1.4691343223173645,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.51990362309311,-122.73511669621182,"10.398924105547133,100"
25370540,5.770956458266292,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.54067758018448,-121.67043913453085,"24.349662460479177,100"
22124160,0.03627635021505778,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.35769691704922,-121.62556915186154,"23.788105507287,100"
18731827,4.323174800892416,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.90665009050979,-122.63742709037022,"9.089905066222245,100"
21861337,6.028765389459103,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.03146780920546,-122.40510436418413,"11.851780347960682,100"
37537799,7.328618555684706,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.60144772220293,-121.34402291543118,"11.57468735470515,100"
48372997,3.6943727624818825,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.23400710320033,-122.05772414983878,"5.061031257478805,100"
62851012,8.314915467437325,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.754584389314815,-123.60921565173243,"19.543834480488464,100"
61395643,7.1954462229172735,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.29414822646072,-121.13618001650761,"23.327199036187555,100"
63114209,8.113539888948516,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.587716912737775,-122.49616990779413,"15.667386904960539,100"
37828271,2.8114221624416187,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.12536816426981,-121.71330563677957,"8.367940828413868,100"
63020842,5.446089176151523,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.18046703301725,-122.89207865549095,"21.995775101159374,100"
60025900,4.787404313080225,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.74171644309121,-121.92731539436117,"8.733411625023555,100"
49120531,3.891039802556782,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.101889836720495,-121.43952079619879,"15.227841687658913,100"
38088904,4.715407021142712,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.06017270218919,-123.51165283057658,"18.373381930396036,100"
12571049,5.21786346694536,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.94827642466552,-124.1730971352782,"17.857674744543864,100"
66714749,7.933350192223488,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.36343700194292,-120.19871073816645,"14.79597233374987,100"
10024035,5.289599127777906,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.960265721055286,-123.26553523238131,"15.01736816899461,100"
67824263,6.71858606269204,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.96765402490017,-120.68702139753157,"12.122235468874575,100"
20111469,6.406873247369562,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.837282374933174,-122.7867719299004,"22.402634189023978,100"
60327900,5.943039317341945,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.07800886247378,-121.24305119659331,"12.643884954921633,100"
38727698,5.367847344652986,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.34950552402312,-123.13031962200105,"5.666613816747336,100"
54287832,7.068761278994562,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.89620361369974,-121.96968604766988,"21.20826090521141,100"
44519634,4.07143727371917,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.983399922523446,-119.60509933786311,"20.479746680148445,100"
38637729,7.604450063322805,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.45611241102752,-122.31439249368067,"13.145322318305176,100"
54867170,9.157388576133215,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.23842436414035,-123.19629981376563,"14.563974650284814,100"
40264222,3.7932783964504884,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.109665768277345,-121.08094921618097,"27.51828945939628,100"
36431867,6.118567397793639,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.41764399114795,-121.39235749010679,"20.161584390840186,100"
17755171,3.3900880064784205,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.53140035950605,-122.58813314227363,"17.606229867442323,100"
56046519,2.0768042496962975,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.241892528837006,-122.09997707409559,"11.297620907955826,100"
15241261,1.2045374439370236,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.69855570729044,-123.42487787895848,"24.948908694316387,100"
64046948,4.481625581988375,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.35729709364962,-121.02237075199504,"14.333649581811285,100"
30213690,1.7050413719574222,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.06964067311996,-120.96179007428324,"12.894151109512302,100"
36723212,7.463140867918896,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.64406740578738,-121.53293880253112,"9.757527065227194,100"
61789092,6.830040313957195,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.75064566069045,-123.84322032053262,"18.938788284014514,100"
68041134,6.307704571340852,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.257745502681004,-120.7630163123134,"16.84187944802966,100"
25692238,5.144274964921246,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.680744451225046,-121.57859290810154,"6.715840409694341,100"
34443949,6.947933227862228,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.8827871755815,-122.18469307789123,"16.604223422270408,100"
16989068,3.4941359116958353,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.86054903932197,-120.31975595591858,"19.85499417743063,100"
19066926,3.1701775119758393,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.11334289519169,-124.42673154893633,"16.362442398186797,100"
26528869,8.542958251311104,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.41555973640819,-121.88475372710104,"25.654241527536513,100"
23162733,3.59565392365911,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.71238083050053,-122.01382140376057,"14.106845922278495,100"
29287686,4.6381443370733475,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.55053313576467,-123.00722987284723,"13.625305966163495,100"
53777809,6.506887833607307,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.95530985823209,-122.94876000786894,"21.590640744554378,100"
39656987,5.523691452244586,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.18852903136153,-121.48565605138337,"18.65367263911475,100"
55848945,1.901309686820949,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.823861458258676,-123.34313243943494,"17.33503678298716,100"
46820416,4.242861779149062,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.16015247347921,-121.75625299207772,"26.433917160173095,100"
56115609,7.7676425461665115,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.85916093338186,-123.98965948987316,"2.4965158698888548,100"
,,,,,,,,,
