#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
16492506,5.228913576067748,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.47814834425352,-121.4444018611927,"14.134613314484264,100"
10144443,2.2514420060585945,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.741926304880174,-123.5967977540881,"29.15129139113162,100"
57957839,2.8141643499703655,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.01347837204094,-121.49194775147954,"15.829695249528328,100"
52397602,8.108672960772571,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.75525119464216,-123.70311091826345,"8.164689300617882,100"
42768441,7.32610236875318,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.29626051334545,-123.19070694950882,"0.8536389488685769,100"
67838623,2.6858819455262664,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.525616205413165,-121.80234001357148,"13.287252363996256,100"
60786244,1.4686684465140294,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.18075926023995,-119.87587830964853,"3.873329562155189,100"
13813316,5.156526958973485,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.95891027061968,-120.6247143666565,"26.137577909878242,100"
22463761,0.8559098906305183,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.15993007622798,-121.88439520353886,"21.813719121866928,100"
33036036,4.714152947942778,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.229756752909246,-121.75639584969625,"4.754329773714861,100"
62883823,4.862673183602213,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.16586714896851,-121.03221335364961,"24.38724804755117,100"
41448874,3.3897238483219425,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.08644556206792,-123.83565727895987,"25.698358119147716,100"
63197475,7.461231537403131,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.87582740845135,-122.01280224959667,"1.2927017858252632,100"
53135286,5.775531921159896,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.729333489428726,-122.89104768319199,"1.7257424042989566,100"
47700108,6.213563603277144,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.54414070654586,-120.06091690143504,"11.59530690456777,100"
32574005,5.006870697913004,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.85212156985105,-122.78383636697902,"7.319029297862889,100"
