#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
50389367,6.434844778459759,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.03654794256121,-120.97022881286802,"6.2775455602709185,100"
21077870,8.808278787851968,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.553079622861134,-124.87664309419414,"23.956888362738937,100"
44225067,8.857871233238336,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.86223228312676,-121.48827446984073,"23.423998763250736,100"
52750932,5.758639259527149,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.376977731323215,-123.23070790543007,"5.171190184647228,100"
57183572,8.090200474916175,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.52065252084264,-120.81058819418216,"18.253657623694576,100"
14739667,6.973795016161876,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.91821769259589,-121.9239360932761,"5.0008377703480935,100"
52293184,5.750634253719805,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.7638715359155,-120.63152215704186,"5.461399439685756,100"
41212052,5.194346478880969,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.336694128082314,-121.24503165608023,"2.666318228563162,100"
28906492,8.272838438099612,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.796383298701265,-122.01868110124366,"23.80697619814378,100"
54435448,1.9345381716574366,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.21983631814311,-122.79543750698987,"1.9642475893676525,100"
29603914,9.474495282279397,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.072903184099076,-122.93051457659982,"16.19153693620395,100"
46172900,8.700584178420765,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.65124752654824,-121.8182230659563,"26.548351011642072,100"
34628699,1.1350210157098377,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.93973650860943,-123.60009555845042,"4.724695114224884,100"
48558936,1.4643310876352251,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.889187611181,-121.10785160902635,"2.3341885715476822,100"
17139387,1.4724497663293359,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.28116859564796,-119.88916940993516,"2.0636659334877265,100"
27571665,6.136392951580042,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.69733668406511,-122.54869332020075,"8.25618689662325,100"
51751951,1.545659811355286,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.10154638854407,-122.1177241395612,"3.546552156223259,100"
62725160,4.882519726357725,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.16590170059334,-122.67050101735515,"15.920502960887326,100"
27883985,7.5985606209189385,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.62090772956551,-123.83721009224776,"7.189505467610553,100"
22917885,0.43097545706522244,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.131191842097465,-121.60058752048143,"3.4165924852620355,100"
23298019,6.380809836897389,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.31273092428716,-123.40136436880499,"13.78658531647727,100"
42696172,5.036969086635872,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.587035479309435,-121.36718564658725,"18.080273978542046,100"
24675353,6.121911760689704,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.444540612292734,-122.43482005093202,"14.21872004272241,100"
52536197,8.422398127226636,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.46140763723858,-121.71436428227135,"18.383992537588618,100"
43683437,1.7606095413622422,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.82678864296081,-120.20011872234092,"0.3839700213890601,100"
22341208,9.203822796790426,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,49.247508016276086,-120.43598483049767,"22.603367956676664,100"
49011363,8.773363713936142,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.68670450169184,-124.14204052567749,"18.079190710724276,100"
69325362,1.3692447815467519,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,49.00549287819703,-122.32608459494739,"4.442141625169606,100"
34002691,0.6154630898760423,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.40715378894461,-122.219757396487,"2.560955179287226,100"
57946630,0.6796436940600892,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.196480333712984,-123.06845062642758,"0.47676365691630584,100"
,,,,,,,,,
