#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
37208607,1.2979020432586679,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.05810284825063,-120.81259089110841,"1.0011999513225356,100"
49309587,4.94515910154429,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.19757239222962,-121.4997865486288,"27.989933971526963,100"
46620619,3.1130158321167554,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.406293031993094,-120.20218518298364,"14.022190680078648,100"
51730682,3.672230914404267,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.03382840197935,-122.21544723494884,"23.020597828792532,100"
66233149,3.7733348295826716,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.5041517647801,-122.93099788004236,"10.036687866079188,100"
28148371,2.497095299143367,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.51813258382822,-123.23168331277506,"8.937746797332835e-05,100"
54327441,1.6584398543528784,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.50886471540411,-124.87362080565421,"9.037547675814633,100"
55405708,3.393563292320386,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.897795294279305,-122.11690139022275,"26.005530665966575,100"
20396497,1.8962808162752225,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.73056514202481,-122.43053157883172,"7.019443485376568,100"
28868286,5.321062465285811,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.75621135962641,-121.11730778621211,"12.015323320504692,100"
57989275,3.2064277390390274,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.280237303131976,-121.61262354115448,"11.054054728767596,100"
27149858,2.240100580158734,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.78350461425715,-121.91892624223914,"15.011466074969068,100"
55419653,3.8789115008344943,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.620886227395516,-122.79297146063327,"21.064709710932792,100"
59851738,4.228044859125853,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.77995635048873,-124.14975579135988,"28.998792919762458,100"
36505202,3.990041037500953,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.39902415843878,-119.8925247790843,"8.023202337768575,100"
21467187,3.5789966888552383,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.589372941357425,-122.32198222551474,"18.039763330390862,100"
27724363,2.377177446715774,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.50046548970517,-122.01822339207283,"23.99469516316001,100"
23590515,2.0803301663976397,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.27808979539601,-120.44061716731953,"22.066684153412226,100"
