#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
52224775,1.8787410322955154,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.11370526925167,-123.3618309776838,"13.898437590960087,100"
20764300,6.5075779059435845,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.18525231599875,-120.6871868910704,"10.796645689781995,100"
69264515,4.130679694081371,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.08522723646622,-122.32037733598905,"27.494128394531298,100"
50040382,2.3927363288966723,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.22490017772479,-123.61092470527625,"23.76226951123917,100"
50728533,5.5919951035485775,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.03557080094998,-121.93947298183905,"8.066662765167338,100"
19645402,1.455498475291975,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.94066650402342,-123.80851445225365,"9.55863066103183,100"
30793687,7.190684622982598,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.0564625125069,-122.83694582340274,"14.790366880967339,100"
13406011,3.2669599262596765,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.541639806711345,-123.2868718115737,"12.697252509568658,100"
15812904,5.059219591046672,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.61578030312225,-121.8080492138973,"15.007969181006453,100"
60352122,4.62323831738016,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.46488555227202,-119.84599170345795,"11.379361038477253,100"
43681183,7.070936667247718,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.50145204537502,-122.36580526225235,"24.909679871510658,100"
65436144,8.535103736518844,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.31034788389919,-122.72256190121914,"11.085097594607912,100"
15199695,2.5376511370286234,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.16718773433182,-122.10391264335993,"9.201763123887511,100"
11777123,6.7230488545367315,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.986738194658784,-120.34272996231296,"25.63332481848572,100"
20948727,4.697766832017985,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.36903977572886,-122.5135637304177,"14.359334541084966,100"
51585373,1.1820663162704534,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.637118724926665,-121.76409391993309,"14.128391651826544,100"
44992693,3.58073241716727,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.87260288329571,-123.01754298684726,"13.663423985278989,100"
57740541,5.676929369160887,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.582899312932206,-120.96367107973691,"21.565219739426198,100"
43132632,4.84281361024547,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.37784918800267,-122.56284509039375,"12.4480677947572,100"
65168745,7.608040442838778,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.81233908946541,-121.71829439559959,"19.559978021536416,100"
42596715,6.8335067632084385,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.60337374881097,-120.89616896872023,"17.6213446607311,100"
20300691,4.380012720727142,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.56012877701848,-123.9216789912084,"17.095070190703233,100"
