#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
22248569,2.801846028572176,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.19608340466861,-122.27425239098052,"9.483151795795758,100"
53136570,7.450858398184145,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.01878825520224,-123.25613685627043,"6.214312446253821,100"
14547204,7.751293433006012,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.259490594335745,-119.47960391060252,"26.41427793852236,100"
25161181,6.013682838523756,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.22723052362797,-119.39666485169634,"6.700187004063244,100"
40103741,7.916090863993157,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.96254700018945,-124.80217284475728,"14.559266653305354,100"
34005425,4.2951540905975465,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.06265338575814,-123.66214320379385,"21.223045390601442,100"
69946404,3.0425899365687155,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.723140978978364,-122.59611761461694,"16.61787653343666,100"
48139383,3.9590800358848455,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.128321799137254,-119.31253769261112,"9.137395138433497,100"
36599769,2.533833782553528,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.85847376226962,-124.39557441099599,"14.105067900483286,100"
34761493,7.594114329205373,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.22581469758942,-120.38023481230485,"17.859823433869142,100"
19083977,8.30085110393555,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.55286957397101,-123.01344791220755,"3.5607057088012883,100"
29857360,4.980059507287947,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.895844477743296,-124.55642084120008,"11.87632197814079,100"
41020586,4.211150345591464,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.82992524847382,-124.23378374993385,"15.902639991804921,100"
46803390,5.433152420132322,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.08725197851386,-120.13366852056356,"23.805326216761703,100"
60407680,7.311522974992824,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.55013519247597,-124.72178353248582,"15.676178178940814,100"
34703889,8.103967813024076,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.86870501599909,-123.9072862070947,"12.396997348339564,100"
46161645,0.8529406995346078,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.956461893462375,-123.42149236892429,"10.455676319253529,100"
43719536,4.128001874264601,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.820214764478514,-121.54072233218052,"21.603415879674646,100"
56882793,1.2116655976108401,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.992649620677675,-122.93156078663117,"10.13581757593511,100"
41585947,8.807479933866546,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.64810789438113,-119.7305401495191,"23.315066353072453,100"
31326510,1.6990185208785484,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.74850722206225,-123.82555345291073,"17.094573276038478,100"
32042570,6.711243506093684,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.35181457971853,-124.15169170152781,"12.64736076240129,100"
63279836,5.353650652861049,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.67160257390664,-124.0703252456107,"19.259456575807693,100"
50799387,4.839869368235697,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.96286639017914,-123.9879254263615,"9.81715833102081,100"
19696224,6.398093376999428,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.52788449811663,-121.86695654062878,"5.688810022689307,100"
60699365,3.68077179931777,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.349456094226454,-120.54089231590197,"0.02127165204735906,100"
49230506,1.4770412029257882,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.28946517962523,-121.45764146252365,"4.407779375459271,100"
12248865,5.670951055261303,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.67952121952214,-123.74276026443513,"14.779860655307237,100"
44283226,5.753515739760301,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.61523679198473,-120.2967114334793,"22.844703670663762,100"
62001443,0.013897239162224944,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.47241713886651,-122.35808531650221,"18.969667964984573,100"
15918280,6.817776645372876,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.58861222647887,-119.8892163592133,"24.92664274384047,100"
41473649,4.3747907152478005,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.1615912926872,-122.51750723981317,"12.141373362152423,100"
39042167,4.767327481319276,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.43431185920061,-122.76264452135129,"13.877921147395341,100"
25530356,8.539070642334167,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.64330293032435,-120.87539423025068,"11.335697956524264,100"
66660472,4.04507012157484,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.911275573817754,-119.23112300971462,"20.523257046342692,100"
44345305,4.613125044970128,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.24199505401291,-119.97126737455926,"17.603725563924286,100"
14061853,5.127046842850194,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.82290350411485,-119.8111000487582,"18.131949932367334,100"
31631022,5.834493629183466,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.16180251910097,-120.70928535827555,"15.454731472194402,100"
54882417,5.201875575510365,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.18502546724307,-121.78229000556077,"27.492071470149583,100"
50060776,5.51177084325665,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.43293577284628,-121.94879485750671,"7.605704088739788,100"
57393970,6.105581755273627,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.3015952959795,-122.03162688867187,"22.41594539263965,100"
62637123,1.8905437085579986,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.517917507607386,-123.50401194546636,"19.88062418747146,100"
67745113,3.579546542739791,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.89284563091395,-120.7940418210315,"20.203545382836317,100"
21292028,7.052873299954015,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.74853931017861,-119.64766466981337,"24.346196683926113,100"
57251282,2.923806653279743,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.58535616441482,-123.09016999012461,"8.774469860885974,100"
42494899,2.233653205156678,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.8912417329108,-122.6797259508525,"16.1389048130779,100"
53773910,5.054149277455323,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.65505063275561,-120.46150448260164,"20.867948881250534,100"
60584356,9.155011053244476,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.96394004689637,-124.47839500262299,"15.235044474772328,100"
13599321,3.4794545342732714,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.364623601946086,-121.28911458724897,"11.041280180515853,100"
35378615,5.589380359098578,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.278032897944605,-124.31305472234764,"19.56969585078627,100"
33801500,3.268354896453258,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.27884290979977,-121.12653576825812,"11.609722956620338,100"
25767983,5.277908072742864,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.753975186541716,-120.6241162562518,"12.899366292032223,100"
44731064,4.911260690584417,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.444472447150176,-123.17439588334244,"5.073798090113328,100"
37104042,6.498296719661054,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.46090787777974,-123.58270920754502,"18.689960444989048,100"
55298070,2.672779072802445,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.486022643214184,-120.21623690604608,"13.14821615634063,100"
21802616,4.455741128232563,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.75475896804638,-120.95968084638933,"16.848486473962957,100"
58461944,2.3917533964068647,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.27332228861176,-120.05377778888825,"21.994412448031373,100"
38669609,6.299510622903992,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.844823981733306,-122.84349262658708,"13.402709621310752,100"
66805968,6.2014002784929225,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.11709696533336,-121.37498486685347,"2.511060861236124,100"
39271722,3.1585677596885517,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.03962025406309,-121.20887425052666,"13.638839340408078,100"
68473229,3.3748257288479695,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.12881965613067,-121.6211647171491,"7.996278156892608,100"
