#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
47225984,5.175319236177209,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.94768985894978,-122.52186647951878,"13.022242134252783,100"
17388694,0.025484108581539912,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.3194940297298,-123.14987587279647,"14.053387815570249,100"
13028813,5.723110118640566,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.28308571630618,-121.61616010072154,"7.08610259228127,100"
49869447,8.730152142919396,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.4603403154536,-121.03182679109962,"25.016658524710074,100"
31423190,6.136745950430731,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.187337880417324,-123.50882427148203,"4.048059152545292,100"
23220717,3.4253323821265234,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.34228109836077,-122.31415028698486,"6.0574596827377105,100"
52756063,1.2888373655608274,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.61974118787283,-123.75226841864276,"22.034386686162808,100"
36353727,2.237467612453035,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.70473915095353,-121.8199701202863,"9.0513776419719,100"
28562384,4.835122232780381,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,49.00119461277443,-119.93608414300157,"8.076663480473782,100"
47149397,4.086961006453839,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.64459537062211,-121.40110499394378,"18.059017651303137,100"
44462739,6.59239882916057,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.86081703644391,-122.21449573301007,"27.00484722257057,100"
66446581,1.825222054278883,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,49.23669756474338,-120.88492803523731,"0.0003640824763206929,100"
46136452,8.181736911819794,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.66947218530213,-123.31095924285661,"10.043360244036535,100"
17829056,5.354329413454058,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.88957815892726,-121.16370216977417,"25.998495845847586,100"
38308443,5.003648058088834,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.219718237729836,-120.72290934696181,"11.053107800312715,100"
25038799,7.429047106751011,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.044555356761265,-121.72052907795677,"19.058547796152876,100"
