#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
63801319,8.857909889896142,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.44625126483371,-121.97950751310191,"29.25802519103066,100"
34987227,8.903535533552054,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.18372456960428,-123.35757742059724,"24.11675146366753,100"
38575510,0.9890503588706174,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.08132421004549,-124.40893704488758,"0.5393234784677814,100"
61116648,8.585646502916493,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.02593769595011,-121.09461505195169,"18.197752361788204,100"
25754783,8.761052389076367,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.05929721813246,-122.71583026112336,"1.0458031691016472,100"
22864394,1.4079595818515718,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.05769358248719,-122.22940497445549,"4.570898381116966,100"
29539042,5.163955071942324,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.35576396450826,-122.60677043910118,"7.215649858224197,100"
55934080,8.098304601548499,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.51565868861262,-123.28381247587478,"26.57096722580377,100"
17428577,5.539721366988262,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.95330018763334,-123.14182808765304,"11.692668686865613,100"
19866253,8.601466359879344,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.874334752274144,-121.20946769482995,"17.26211908279099,100"
51785502,7.170983483369445,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.74017606537462,-122.88539009354554,"15.549100374542075,100"
