#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
21053580,4.475052780534144,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.55287814644308,-120.20510601246758,"15.83409602432593,100"
60150035,4.278030672203344,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.88132912616239,-122.31812311016833,"19.786418876176825,100"
33962765,3.868781907191914,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.71100896927847,-123.06953964283598,"21.354377502786765,100"
29482259,7.112595939374743,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.85764701949288,-120.81365525116045,"7.591340758275001,100"
18585093,5.518116874143808,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.38651795622824,-121.11828146752498,"12.393128151011357,100"
37494687,3.6448792814468907,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.04378159821945,-120.44084124170105,"10.182251882814288,100"
32719611,1.8027505750623896,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.66471975149261,-121.71780576260227,"16.70171000569589,100"
42838149,2.560375298232368,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.554896969943755,-123.59743848503408,"18.086839468548884,100"
32600610,6.3446749479130755,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.1843194324329,-121.60947347797821,"11.385106258580631,100"
19480755,3.1600076572661733,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.338705820242055,-120.97119542672849,"13.728006578731776,100"
45187591,5.165728244816091,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.82573226479353,-122.11492993723934,"11.910856056442759,100"
