#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
52317119,7.196058392218445,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.80436588843117,-121.1399202857987,"16.13034745568742,100"
40407273,4.779786095113362,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.49790661755682,-123.99331371501857,"20.5324096190133,100"
52715608,2.5409624457383595,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.04853236652899,-122.32035653653637,"12.436904102055967,100"
25677353,7.324615857415202,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,42.21991021920202,-121.49151489832576,"15.899772588938404,100"
47278813,3.9511179588363508,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.14014308648572,-123.01431930484699,"6.202026343523088,100"
26470171,6.035893550848023,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.95123602254802,-122.90106898903176,"7.6317344053057425,100"
15380407,2.2429458212992452,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.57776114743602,-121.29878162214435,"5.65203004032059,100"
33455158,8.773057862343418,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.39622410973234,-120.43009009963438,"18.39025552608425,100"
28711875,6.837000816068292,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.52424245073747,-122.95620844708007,"8.03571292645014,100"
56634185,5.143482025086923,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.80771174824475,-123.60983125246406,"12.171059387773967,100"
53587514,0.0323238228038975,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.69634617504279,-120.19671478138001,"13.18965060896752,100"
50778508,0.8399052771470684,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.27536872955854,-123.2739322903256,"0.03679758097012637,100"
69866914,3.8599236033676165,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.426700906921326,-121.63158215287275,"14.132932048854311,100"
37579767,4.707854374415597,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.54693707855301,-123.42471701670478,"26.444377846999384,100"
16492782,5.369469017988524,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.117125874310794,-122.10881635403464,"4.375732401152145,100"
38120336,4.213528751811667,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.6077874386769,-122.19305812874187,"10.453878928777113,100"
39775100,3.1591169797404275,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.377168103581994,-122.6403259423412,"13.661752680653375,100"
22945373,2.9264987063797405,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.42142310514711,-121.34917093962925,"9.15320114437051,100"
67690022,7.599516708885382,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.931459617761064,-121.72047690916636,"10.147901890351056,100"
55053996,7.06907033319305,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.764926006983984,-119.87704014604688,"19.890531662878622,100"
30011942,3.571954594491799,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.12773700352957,-122.36366737013256,"7.202758302153309,100"
57312290,6.951130916161142,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.472471435365634,-122.54549169739832,"21.96058555875038,100"
12375964,4.468159422679135,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.19120285739361,-122.49961996587753,"22.378328347066077,100"
55879695,4.128262949986856,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.06432547429155,-120.61662298952041,"12.68788175517557,100"
53215594,6.616824308843156,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.622972237980484,-123.13979412009101,"16.843916042340506,100"
