#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
12790393,5.190916728201628,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.95935760496121,-119.99220245748363,"22.793225164362372,100"
27629387,3.220028777545298,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.4426302661006,-124.1189913646205,"15.375091368349436,100"
21872643,4.411362078325675,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.836714129277745,-122.34402059536612,"10.550920940333667,100"
56903463,2.4266438759746354,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.09524874536371,-122.65824563510235,"14.641366730693901,100"
10740207,2.125820183798047,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.45416101397628,-121.20143489238916,"14.822074591559762,100"
28679292,1.2335167121729809,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.88789411375814,-122.94495145818254,"13.342858853093535,100"
12989726,3.662159040767789,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.67464534552599,-121.59363560659506,"18.460485396187675,100"
33682540,3.4177210997860765,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.32162602717772,-122.89971896728836,"12.772934274901957,100"
58938086,2.6268646196151177,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.68767256891032,-121.52133428151876,"18.24652578500165,100"
40794225,3.4574586329776795,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.78292009302493,-122.70669650694911,"23.50050513419263,100"
49525926,3.7042552047419264,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.86584235620907,-121.11586678358663,"19.978435562344682,100"
69272718,2.9796198961243308,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.11038760609037,-124.19826410042768,"11.742234507481674,100"
67836604,1.975665604018886,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,43.68565425317333,-122.75430032585935,"13.902286955663019,100"
42158057,4.120300615536658,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.297439281674194,-123.47031042649536,"11.053802490915738,100"
54069048,2.3718219871604695,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.32206184191893,-122.99171032151843,"19.687030305252726,100"
42854113,4.622723253116718,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.51853673431722,-121.99341946762873,"25.68618638472458,100"
46513736,4.546484406415606,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.029792129354306,-120.71662982654301,"20.959676125193425,100"
32275336,0.9536210673456331,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.71491376060102,-120.92753748619683,"13.526380333479901,100"
31005951,3.2995362999909617,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.62133948791628,-123.17044969746765,"10.809526337943126,100"
54815725,2.8953960777997567,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.2009827025852,-124.53962550910285,"10.000438587370986,100"
69262850,5.034774163462364,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,49.043482202035676,-120.82689749037293,"9.366496622533905,100"
60346585,2.052931065073345,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.56754987261413,-120.4791003481539,"22.228859050544298,100"
54077751,3.7479968250510103,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,48.243800179673954,-124.39932334795294,"17.81619886432997,100"
22011181,1.6964212496770636,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,46.77715348001338,-122.5056642807706,"15.54800894734238,100"
60216218,1.8929041539620657,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,44.31081409547169,-121.86462965542445,"4.127179611223095,100"
52917909,3.9248698658912313,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.83934195109437,-123.79918839856553,"11.954232155036017,100"
48836132,2.8104564857079715,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.389546417434644,-121.93051418104575,"16.458555970307483,100"
53081970,4.282239798252188,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.51225203370401,-123.51347228464608,"21.331621964891355,100"
37381758,5.703382844730173,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,47.242854531101656,-120.33795121044575,"17.018580229349325,100"
51454962,2.766813834864982,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican, OR,45.80857865110218,-123.74973057502775,"16.650051390635948,100"
