#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,1.5246421502004524e+30,-351948246299.4, -1516349791129.37, 996023799041.33,-1744.36, 36481.93, 1453.27,2.26,#ffffbf
body,1.589386248322203e+30,-2739678425691.66, 445358084218.71, 508475033943.59,-5757.75, 4473.75, -553.68,2.06,#ffffbf
body,3.96449754566556e+29,-3632856618633.98, -805396154302.04, 1146941888851.05,-341.32, -129.59, 6543.92,1.63,#ffffbf
body,8.599909564566587e+29,-871824924292.79, -377127219184.32, 668936217613.75,-2670.12, 32835.14, 3114.22,0.08,#ffffbf
body,1.85702452190048e+30,-452962319232.73, 282222231131.04, 827258977227.87,-3837.05, -8990.87, -1638.09,0.94,#ffffbf
body,1.9558718069091305e+29,-3254276132092.37, -898725675829.0, 691307081753.42,-4564.97, 1905.2, 2495.95,6.21,#ffffbf
body,1.3095531961186814e+29,-1317774459586.5, -2959821795457.44, 919398718435.66,373.48, 20479.49, 6253.68,5.79,#ffffbf
body,7.279216513010306e+29,-2175923401545.34, -94108434669.05, 279137568623.99,-4328.94, 7349.55, 990.92,1.34,#ffffbf
body,5.3009026463403104e+29,564754810946.62, -1242086049751.62, 300629097124.54,-587.47, -7955.38, 758.51,2.23,#ffffbf
body,1.1235602618631828e+30,-2016508423763.12, 9030519222.31, 654962281718.1,-5539.14, 37835.56, -2017.86,1.67,#ffffbf
body,6.620830116446364e+29,216928787885.17, -589711668228.42, 732249424069.79,-3606.41, -7240.3, 2851.09,0.64,#ffffbf
body,1.7218259464875905e+30,-1718920543649.56, 345463879088.6, 871329395724.99,-3143.35, 29510.59, 309.94,1.2,#ffffbf
body,1.3225091584413289e+30,-549249414985.34, -1531409442715.44, 735143096359.73,-6007.5, 10176.25, 467.04,0.9,#ffffbf
body,1.3901374308553744e+30,-163163041602.51, -2354819483470.19, 778931602251.15,-2913.77, 32117.58, 2505.79,0.74,#ffffbf
body,1.6553807859364166e+30,-53843494138.15, -151799860021.95, 711426171634.93,-1987.35, -5575.77, -284.33,0.86,#ffffbf
body,4.601098086003047e+23,71609596436.0, -174000563951.53, 895637203551.15,-6486.4, 12652.25, -946.67,1.66,#ffffbf
body,1.0570119229045434e+30,-1207758548261.42, -117275264921.45, 1022659118336.41,-1312.92, 20849.12, 2778.27,0.71,#ffffbf
body,2.6441499999244607e+29,-257517714970.99, -1746799636957.38, 968461468817.35,-1527.84, -1968.49, 3515.92,0.54,#ffffbf
body,9.935025167252104e+29,-1581866163671.13, -23276757103.27, 1016678399848.66,-1076.32, -10963.49, 1060.6,1.52,#ffffbf
body,1.2531080357756829e+30,-1448547977312.09, -616522723096.01, 319559092627.59,-4818.22, 39271.02, 5631.12,0.68,#ffffbf
body,9.262396421426055e+29,-2533316799354.76, -925935179039.09, 970942489363.92,-97.83, -2571.46, 6314.07,1.15,#ffffbf
body,1.1872381846480494e+30,-2976457491119.51, 716598542541.41, 1076549970496.29,-3378.46, 19929.06, 5336.72,2.1,#ffffbf
body,6.476830817258387e+28,-1862927918328.62, -794133551193.31, 460566974650.48,-832.51, 8255.64, 5738.08,1.22,#ffffbf
body,1.457164928341571e+30,-651173798357.08, -641933577561.84, 410591991338.74,-2201.22, 14413.21, -47.54,1.25,#ffffbf
body,1.7894106630856462e+30,-989798385070.31, -1161044082727.31, 1176952468680.46,-6241.34, -2474.33, 5165.49,0.66,#ffffbf
body,4.6431666082295834e+29,-4498119778017.43, -953122632773.05, 810089859643.26,134.91, 30066.76, 5579.1,5.93,#ffffbf
body,5.968340557994001e+29,368124041913.16, -1792044488967.33, 705351711483.61,-5049.29, 15121.72, 3316.93,1.69,#ffffbf
body,7.933837617734061e+29,-2352422819143.96, -1633576530803.32, 818900666403.99,-5308.09, 11633.46, 3093.41,1.64,#ffffbf
body,3.301580567100414e+29,-753270856570.0, -986739510988.62, 589574967080.63,-4083.05, 15052.43, 6527.51,1.17,#ffffbf
body,1.9218611371204374e+30,-1103473516886.89, -982067393892.23, 871231021330.12,-2442.37, 21616.1, 3530.24,1.3,#ffffbf
