#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,7.674997423316942e+29,-1701406037265.63, -576241685354.9, 1198870906777.72,-5477.76, 8842.49, 485.5,5.309551736324038,#ffffbf
body,2.926900923008288e+29,-498750327504.44, -1203830050701.0, 323559740820.1,-3717.94, -3553.39, 5641.19,3.7915794796942865,#ffffbf
body,1.1639103553326325e+30,-3247272990212.92, 195738979605.26, 870450037333.18,-5277.65, 1615.13, 1670.81,3.84217728440008,#ffffbf
body,6.066118395687732e+29,-225423374452.69, -647643860606.7, 428239558718.91,-6486.04, 1572.76, -561.36,5.1602005089791545,#ffffbf
body,6.71873639675404e+29,-348659598298.14, 740188258162.93, 850158388103.07,-1825.18, 5995.72, 6668.82,2.417140321538689,#ffffbf
body,8.048927309998435e+29,-1400348139984.07, -799748333479.58, 617177507955.13,-4047.6, 38909.59, 779.45,3.9795353953476216,#ffffbf
body,1.4578286337819686e+30,-1514491638361.86, -1572367423681.48, 601496957120.67,308.21, 36739.34, -900.98,5.114186782307947,#ffffbf
body,1.0357613739375624e+30,-2090720194763.22, -352905076915.84, 957539194940.24,-4533.61, 26337.45, 2241.15,3.1937647143901318,#ffffbf
body,2.399676492888157e+29,-1126406399038.55, -1739394066184.92, 1096765969076.51,-6061.9, -6947.37, 3919.07,5.878750171424546,#ffffbf
body,5.054295440959453e+29,-134402930667.87, -37757948243.74, 420835566753.76,-573.52, 36233.33, 6305.69,3.4022110837456676,#ffffbf
body,3.3999821294646014e+29,-2622244593775.09, -1132947214763.0, 636280226704.89,-5665.26, 636.55, -1341.3,4.611043456603664,#ffffbf
body,1.1805179036640746e+30,-90647115646.64, -691126363489.66, 17280800303.72,-197.7, 32830.75, 413.5,4.024522044121683,#ffffbf
body,1.0505063611748242e+30,-307307338008.96, -2589192059886.02, 307498388985.58,-2826.48, 3519.16, -2012.88,4.068953458879795,#ffffbf
body,4.4672429647411176e+29,-1576461453370.0, -3397212336349.95, 231670938429.27,-5072.26, -5344.24, 4211.86,4.153474704995023,#ffffbf
body,8.884784986154968e+29,-1291013312868.25, -3368828588109.27, 397218094804.55,-3614.98, 1352.74, 5208.05,4.573608062390701,#ffffbf
body,7.489111493527712e+29,-1952002933415.58, -2128817263054.97, 206632762667.39,-476.05, 4964.52, -124.64,3.4619897866213596,#ffffbf
body,3.794392466508588e+29,-2727027395337.05, -1067482198049.21, 780951722782.53,-4647.82, 22462.84, 1533.17,4.843662428814243,#ffffbf
body,6.916739923090443e+29,-1073565686694.44, 203604464179.3, 595380136431.43,-3424.14, 35263.03, 314.03,4.391692623604595,#ffffbf
body,9.777675536340499e+29,176919167356.39, -77855810485.48, 1059013903596.68,-4753.27, 1659.89, 2336.53,4.763066899231098,#ffffbf
body,1.1132819234934593e+30,-427471323968.65, -1246048338719.98, 965478737783.36,-6268.03, -9915.05, -1319.31,2.0059204617455837,#ffffbf
body,1.650999492330727e+30,-1638009735488.78, -1602377745090.33, 959304248856.23,-4341.68, 32358.58, 6531.73,5.472053216746362,#ffffbf
body,1.407267686140575e+30,-3123602208881.85, -387195941936.03, 778934567827.54,-5967.75, 5105.36, 2241.54,5.209168552150139,#ffffbf
body,1.1293106968161997e+26,-799788786565.77, 156966193592.86, 301799660528.14,413.4, 34807.72, 1423.01,3.5824186031622665,#ffffbf
body,1.513493216331107e+30,-2163637185742.86, -477468055618.32, 460952457346.18,-5184.05, 15201.66, 3575.02,5.4176577078550014,#ffffbf
body,4.7700039701381305e+29,-3724827734187.42, -2077303735366.95, 505074932968.39,-2331.28, 20888.58, -92.7,5.531128121759474,#ffffbf
body,9.919962626860363e+29,-753007085899.88, -1011890603765.42, 929547886367.87,-2533.99, 4474.56, -1893.45,2.847338226713516,#ffffbf
body,9.338702221748504e+29,240809766635.76, -1773479194762.52, 128568949089.75,-3114.78, 19322.74, -1784.43,4.465294533314919,#ffffbf
body,1.357960668332019e+30,-533398026537.67, -572294143219.9, 537694197181.39,-2922.7, 23196.06, 6311.07,5.362505801458805,#ffffbf
body,1.1297104540900844e+30,-2300506278196.03, 752011726629.28, 317669882457.65,-1407.79, 10475.07, 580.74,5.019249011077228,#ffffbf
body,1.2730117932205588e+30,-857115616993.67, -1891646662928.41, 544568960111.63,-676.56, 31842.28, 2757.14,2.9439555216708215,#ffffbf
body,8.723872503138753e+29,-3963574099009.1, -226211145540.95, 560390392712.97,-1733.54, -6161.44, 5606.44,3.6901468746938337,#ffffbf
body,9.634188637240114e+29,-4506342936319.65, -218709555247.68, 51567806226.87,-4431.87, 28195.88, 784.51,4.195482792072791,#ffffbf
body,7.112708168161818e+29,-2538693904330.97, -2131812027718.39, 750435889125.42,-3025.59, -9603.18, 1401.22,4.429354655766039,#ffffbf
body,1.3359109216470022e+30,-1884726711511.83, -2768548678048.1, 375960609172.85,-874.35, -6820.13, 6545.35,4.7243628096718915,#ffffbf
body,9.48819209928678e+29,-2805972877808.03, -8281098631.23, 455229629913.91,-287.56, 16848.95, 3239.52,3.9344697524533325,#ffffbf
body,5.603311222739294e+29,-1347302475195.22, -629041315477.95, 1238561213456.52,-5753.44, 29416.31, 557.42,5.066730373080249,#ffffbf
body,1.1980896830052081e+30,-622817180483.33, 326036558311.43, 816696755541.81,110.33, 17995.65, -780.71,3.6367935337866903,#ffffbf
body,5.33184739943907e+29,-664063308240.51, -729526493222.67, 751982974291.34,-386.18, 27680.18, 5214.41,4.930079667747925,#ffffbf
body,8.564227786339843e+29,54009695258.0, -2471672549169.02, 474946470947.56,-3219.18, 21071.75, 5273.77,3.742316736727613,#ffffbf
body,1.2935573245312785e+30,-464666259003.91, -2764259138420.33, 770017792371.24,-1632.51, 25808.96, 212.37,3.3346976611754626,#ffffbf
body,1.0975581600441583e+30,-900215830400.45, -1672689289251.24, 850910674334.53,-1302.97, 27760.52, 3759.8,4.684821310866604,#ffffbf
body,1.2344161032058868e+30,-3375517501465.37, -49151327248.79, 867738173480.94,-3823.04, 6415.04, -1242.05,3.119663274351618,#ffffbf
body,1.2163803017852836e+30,-578141504496.01, -434351961118.72, 953833979053.98,-769.84, -5122.05, 1330.74,6.054063702499497,#ffffbf
body,1.3149901747420387e+30,469726744233.66, -1655812423446.4, 535481714075.99,-5859.16, 5660.04, 3972.68,5.657360138384094,#ffffbf
body,1.5425532200868479e+30,-47946579535.93, -2771488770517.12, 936910158142.52,-4249.45, 38024.98, 1191.97,4.501795975580453,#ffffbf
body,1.8214150987577723e+30,-1028681977503.94, -1137859738976.03, 300917300944.36,-980.07, 16622.16, 3580.2,6.561424560740639,#ffffbf
body,1.0067787008128667e+30,-183943396173.7, -3442034751298.75, 879038180745.39,-5380.17, 25107.89, 4044.74,6.38498612059181,#ffffbf
body,6.508900719590403e+29,-2385006075374.39, -3228440878547.84, 348839243845.62,-3331.12, 23917.91, -1794.63,2.587371189655491,#ffffbf
body,6.287593071743612e+29,693864029678.24, -684731156569.7, 290173726013.42,198.26, 28873.16, -1345.49,3.266153340721622,#ffffbf
body,7.307289794157264e+29,-2236923018223.16, -1039519278146.14, 773684518379.39,-6382.86, 13258.09, -294.89,4.276562940628842,#ffffbf
body,7.864338166677558e+29,-2462307153607.32, -1571427304519.64, 400403801363.65,-6159.98, 7575.47, 4901.45,4.353307260447258,#ffffbf
body,1.748456361457053e+30,-1228886995257.97, -1421466435516.71, 472049980824.26,-5579.88, 22731.34, 4164.54,4.6476121606149405,#ffffbf
body,1.485089891448681e+30,-3007503503281.36, -3320583893615.16, 944716148183.54,-4140.78, 4359.87, 4312.58,4.111343193939359,#ffffbf
body,1.1464513489579043e+30,-1456973068131.33, -1596600091839.9, 606755123839.92,-2625.02, 16212.85, 635.93,5.800002916185132,#ffffbf
body,1.5761387061387623e+30,-1763480281767.77, -1165464915848.78, 865211476914.14,-79.92, 39766.07, 5774.01,5.964388490462085,#ffffbf
body,5.830898588877516e+29,-2911099547606.12, -1568403459005.25, 1016138501506.28,-1082.88, -4336.82, 2194.58,4.237127490071669,#ffffbf
body,1.0661382140932982e+30,-1824259024623.22, -1136916717380.54, 563323941543.78,-3931.62, 25086.4, 4119.35,5.727119860893859,#ffffbf
body,1.431682845978967e+30,-2020130139883.5, -2518310111571.11, 830675357818.85,514.35, 1183.07, 3026.53,3.8888854791649843,#ffffbf
body,1.0216864206500763e+30,312191879952.74, 501585898833.96, 717764345199.74,-3518.7, 37474.37, -333.45,4.803116385805204,#ffffbf
body,1.6112078759796343e+30,-940347183440.02, -2185361696655.28, 452441452699.28,-1196.59, 35936.55, 6546.48,3.036940553109253,#ffffbf
body,8.223438196053055e+29,-387754420319.81, -2199790548510.06, 367730763131.45,-4978.51, 32517.3, 4461.29,6.254200327956945,#ffffbf
body,1.3829746227064323e+30,571441592418.95, -3019041757902.64, 575293469707.75,19.76, 13279.05, 477.0,5.595041587930043,#ffffbf
body,8.396475268721364e+29,-987773591332.34, -2791600302567.13, 803491676123.99,-2035.49, 26597.84, 5147.34,4.315205259633968,#ffffbf
body,9.192865614187302e+29,-1177009493634.71, -1636117773160.33, 1107221568366.65,-1520.77, 713.13, 2657.98,5.258156500967424,#ffffbf
body,9.039813803819449e+29,-706780904428.91, -1501325081067.81, 611270213300.46,-2719.97, 9388.07, 1300.39,4.9747862451747,#ffffbf
body,4.138059159723387e+29,-266243735583.01, -1136107174280.48, 1083917589119.95,-2437.28, 13686.28, 1345.48,6.147533537582501,#ffffbf
body,1.6990055128099464e+29,388403852386.43, -2455113286420.38, 939198687818.09,-2215.82, -10852.85, 3087.4,2.729579716824218,#ffffbf
body,1.2532136754192612e+30,-3542164157700.29, -174364075404.48, 297793792845.56,-2131.02, 627.76, 563.46,3.523233520678013,#ffffbf
body,1.081596305842733e+30,112131466813.3, -772358318566.54, 659793372145.55,-1928.07, 7000.5, 3211.95,4.538173397622026,#ffffbf
body,1.6957213330902687e+30,7637560911.11, -3862241551330.38, 1040217854395.72,-4865.3, 20445.77, 5956.72,4.885166443688011,#ffffbf
