#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,3.259966123859529e+26,-1466106860824.19, -1652122975014.27, 754557943667.66,-2385.03, 27883.76, 5735.55,3.2940501803314484,#ffffbf
body,3.526858726354732e+26,-860942792563.27, -1196942070963.2, 551520734255.61,-3013.23, 23414.9, 104.74,3.7051514479303944,#ffffbf
body,2.5685874119556127e+26,-658862705492.14, -1247453694070.94, 899568013389.92,-3277.9, 10485.23, 2072.92,5.714844919355736,#ffffbf
body,2.701741495436281e+26,353541214019.85, 385550002445.07, 830454219381.62,-3064.36, 40325.05, 5516.69,5.298629638527515,#ffffbf
body,2.986934831039668e+26,-168129680463.49, -3063916622588.55, 790645089933.92,-2517.5, 15595.72, 123.82,6.086739030472336,#ffffbf
body,3.093893319870676e+26,-1222400402810.4, -3834180463331.91, 691645993181.86,-2721.83, 3772.13, 6789.85,4.140434907219776,#ffffbf
body,2.4997046787691158e+26,-3004625957288.41, -448468733109.23, 119408794994.14,-3770.41, 6420.74, 1258.18,4.863353206719156,#ffffbf
body,2.9345431300069454e+26,-1743306815756.1, -1593977456230.36, 751836438844.4,-3215.12, 18290.11, 1629.73,6.358397916585238,#ffffbf
body,3.2215698468371026e+26,-1591845820616.81, -2009667020647.05, 760299329610.64,-3161.05, 29236.5, 882.01,3.9373574163506104,#ffffbf
body,3.1858981593265304e+26,-2038689116521.28, -502786526192.96, 200208391341.68,-2074.14, 7650.15, 5033.49,5.88546310924592,#ffffbf
body,2.9083479729104952e+26,45759548879.46, 630284572443.55, 1052207855334.48,-2622.33, 34538.83, 5640.51,4.9654913234084495,#ffffbf
body,3.4246543896954166e+26,-3282781697126.82, -2749736125915.59, 896031836785.87,-2915.92, 25900.41, 1634.04,3.4437431196488,#ffffbf
body,2.960756149793221e+26,-2545434395416.82, -143255940171.53, 823962385791.59,-2673.79, 25204.63, 218.83,2.912431082720529,#ffffbf
body,2.6637158437763737e+26,187742388267.68, -2540310698630.85, 622176217441.32,-3401.16, 15510.4, 2892.56,4.676780483309518,#ffffbf
body,2.737238609276549e+26,-270419329957.53, -2878601676009.37, 736852987805.77,-2570.35, -3403.78, 3228.26,4.587886975870968,#ffffbf
body,2.620419964487658e+26,-2202000794421.08, -3203232525210.39, 479027019939.47,-1887.23, 29886.25, 1302.55,5.0714838791892225,#ffffbf
body,2.769223196431041e+26,-363730336028.84, -601031049453.72, 402014179767.34,-3562.53, 2012.01, 1849.15,3.8251201946074387,#ffffbf
body,2.3968295876365858e+26,-1884401754908.03, -1962278287601.91, 813683680360.35,-2865.78, -152.94, 581.45,3.120347032504978,#ffffbf
body,2.8279885302779117e+26,-555248070371.75, -1971666942831.77, 1060172954815.8,-2297.23, 22484.93, 752.27,4.042909806919782,#ffffbf
body,3.066425112277692e+26,-1097014169073.28, -1574353469663.31, 377734171461.65,-2964.3, -9841.7, -983.1,3.5791166607196363,#ffffbf
body,3.3037654489318976e+26,-2363796229891.85, -1113279729360.36, 52660088498.33,-3653.83, 36798.05, 228.56,4.4157100375895375,#ffffbf
body,2.8555575817626955e+26,572612699343.96, -3340585616315.72, 600071245665.87,-2770.01, 25211.91, 378.98,2.647336667060123,#ffffbf
body,3.3576645833396876e+26,-3672692827860.31, -1828823116612.64, 741717205724.06,-2454.22, 33595.88, 3841.61,2.0040846530445293,#ffffbf
body,2.799207276632824e+26,-454187462577.6, 428270089951.3, 960131063016.51,-3478.96, 17279.91, 734.74,4.768211098908308,#ffffbf
body,1.4927798121798854e+26,-976634107648.27, -140040721483.93, 864218399240.19,-2815.49, 38015.25, 3118.76,4.502010372194724,#ffffbf
body,3.0394068023809638e+26,-4535926858315.5, -1627364663924.52, 977787799960.13,-2195.75, 35136.67, 690.43,5.559893753327471,#ffffbf
body,3.0127774101235028e+26,-2745112279191.66, -306096840025.58, 1002820890357.14,-5246.75, 24570.68, 2807.62,4.2360344303090125,#ffffbf
body,3.153106809805408e+26,-68569495959.5, 515911484689.55, 127437358836.16,-3339.8, 28841.36, -1848.48,4.328807956728177,#ffffbf
body,2.882491150840494e+26,-1344308360514.68, -998712220188.33, 597885206282.77,-3955.0, 12626.83, 5916.14,5.422290155102964,#ffffbf
body,3.122106093398379e+26,-759376281311.54, -1022388430074.63, 1112589152271.82,-3112.68, 11478.62, 2641.14,5.179359612988464,#ffffbf
