#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,1.693275156620376e+30,-3875171663865.51, -2312880509010.78, 879432018069.68,-3422.94, 18352.65, 176.64,6.35,#ffffbf
body,6.52183354694272e+29,-221119142987.93, -1302855999910.03, 949319184544.57,-3817.84, 17423.93, 1053.04,0.94,#ffffbf
body,1.0536758423134603e+30,-3965796216020.35, -1908180068964.52, 942718011437.12,-3169.59, 26050.49, 5616.42,0.14,#ffffbf
body,9.664095262949097e+29,-1994332799205.65, -3250080815399.99, 93792247089.57,-4025.52, 21532.51, 1991.43,1.81,#ffffbf
body,1.1663076329737297e+30,-2309621550847.0, -2971369044259.71, 294965140818.28,-3000.35, 17937.12, 2008.84,1.09,#ffffbf
body,1.1171852042295698e+30,-4535397421737.88, -2979140790173.96, 351461832617.66,-2775.63, 13406.54, 4315.0,0.37,#ffffbf
body,1.384531121083787e+30,-3287650333263.78, -818058630873.86, 307065590414.07,-2816.5, 16117.56, 5821.75,1.57,#ffffbf
body,4.153546818353222e+29,-1574698714743.84, -24571669610.02, 1203365238504.2,-2445.08, 30084.79, 2124.46,1.37,#ffffbf
body,1.747853847572635e+30,-3248540659679.9, -2715017430924.77, 471065852614.15,-2328.26, 14953.2, 2465.23,0.12,#ffffbf
body,1.0236395714665992e+30,-3075575489441.06, -1358875977496.5, 292339460252.78,-3903.24, 23559.53, 1167.44,1.55,#ffffbf
body,1.1840442106216234e+30,-2578511046470.04, -2126389761743.51, 97737378185.62,-2979.2, 16383.67, 1468.83,1.93,#ffffbf
body,3.787609071220043e+29,-3430976399528.44, -3231983732147.04, 208962141863.23,-2119.18, 9827.58, 1016.51,0.55,#ffffbf
body,1.0089789057647818e+30,-2049855307808.53, -3287452813299.89, 915695407208.91,-3059.83, 9527.98, 5087.73,0.3,#ffffbf
body,7.888585816460726e+29,-788438761205.02, -2509049200870.13, 1071853018560.31,-1891.76, 3987.55, 1827.05,1.6,#ffffbf
body,1.084108177229531e+30,-2356072255354.31, -1358218916863.13, 605041373156.86,-2796.3, 20249.67, 374.35,2.09,#ffffbf
body,6.944256007651646e+29,-1942106923062.81, -2925048056687.17, 675414786650.27,-3570.25, 28074.39, 1762.37,1.55,#ffffbf
body,5.0629605190049016e+29,-1448231021296.12, -1072682573835.25, 1118213668268.13,-2920.94, 33329.95, 897.59,1.91,#ffffbf
body,9.806890218734425e+29,-2532873119306.79, -2585086221835.07, 1033750232785.54,-2665.98, -5021.59, 1879.68,0.63,#ffffbf
body,5.591692043901131e+29,-2856642988125.71, -2613082047812.42, 704291015948.81,-2618.65, -1523.05, 1708.95,0.85,#ffffbf
body,1.3621684845859447e+30,-1382256498604.44, -404746606861.51, 797267219963.94,-3339.33, 9373.39, 2899.05,2.17,#ffffbf
body,7.144055065800725e+29,-1249844779878.88, -1563997356617.08, 163879207781.22,-4995.12, 11598.35, 4439.06,2.12,#ffffbf
body,1.6506789891639112e+30,-4061761582390.07, -3272803215058.9, 191737920923.91,-2941.35, 8592.0, 4112.13,2.09,#ffffbf
body,2.380011237897201e+29,-2674602303260.97, -500534249414.33, 551897689147.37,-3698.25, 10709.29, 2174.53,1.74,#ffffbf
body,1.4578470273314736e+30,-4210475266948.58, -2323996442062.45, 147568544016.75,-3492.04, 28461.13, 4941.99,0.09,#ffffbf
body,6.294062387314126e+29,-2442775853798.14, -2472822067850.71, 371554480532.72,-2876.87, 7281.75, 4359.24,1.91,#ffffbf
body,1.2386914749515889e+30,-2950172711423.61, -2675906397678.82, 421523901478.53,-2476.46, 7591.92, 3940.08,1.2,#ffffbf
body,1.576432862076111e+30,-683100728161.38, -3499496388462.14, 438908192189.86,-2688.24, 27138.08, 3174.04,0.08,#ffffbf
body,5.329696821818166e+29,-3487112663834.68, -768990683025.95, 505798192978.48,-3390.37, 17965.05, 1336.11,6.23,#ffffbf
body,6.070770244698988e+29,-481009928281.08, -2510297801513.5, 639756383021.17,-3366.32, -8143.94, 4892.14,1.28,#ffffbf
body,1.2018485062516125e+30,-1636708819758.45, -2280669918099.16, 585385505824.43,-2960.19, 21279.33, -416.94,6.99,#ffffbf
body,6.020782625368975e+27,-3112100510687.87, -1442048723559.13, 428854659397.32,-4210.46, 15055.9, 5898.46,0.96,#ffffbf
body,7.522036394610677e+29,-3203849489900.19, -2673686230119.78, 539864673283.1,-2391.79, -4461.92, 2379.29,1.78,#ffffbf
body,9.948976642959751e+29,-1825059758794.58, -2497436365546.11, 1027882946198.59,-2597.18, 3552.81, 1265.63,1.51,#ffffbf
body,9.512777559840432e+29,-3384415375743.08, 791907551249.62, 347102702919.06,-3081.78, 12486.61, 5210.74,1.74,#ffffbf
body,1.0685305912775434e+30,-3604188120524.51, -2484622013949.92, 192011061570.98,-3125.55, 37172.76, 1533.0,0.57,#ffffbf
body,5.825649922698359e+29,-2155048754918.24, -430792391505.75, 172364739142.7,-2713.9, -3746.47, 1799.85,0.41,#ffffbf
body,1.100547543828181e+30,238639618193.15, -1276252815496.77, 827757274312.71,-3455.27, 6799.6, 2032.63,6.82,#ffffbf
body,8.739448601644582e+29,-945366062167.67, -1207103472413.22, 253060032002.38,-3310.86, 12621.87, 3432.77,0.94,#ffffbf
body,1.8158382315004935e+30,-3336043660343.1, -1581007155477.88, 354479125723.63,-3193.44, 19451.88, -642.55,1.77,#ffffbf
body,7.707188211387657e+29,-1319274056251.72, -747296101681.66, 510541900815.75,-2293.29, 5782.11, 1707.98,1.26,#ffffbf
body,1.2589235951824048e+30,-3803377621518.64, -619799353598.15, 372370255478.61,-1979.51, 8939.78, 2262.63,1.14,#ffffbf
body,4.475779281730063e+29,-2809417360177.0, -3340659540850.58, 166461128409.43,-2503.17, 1401.83, 237.56,1.61,#ffffbf
body,1.1330209876202449e+30,-587847347533.03, -231036367592.96, 82918581821.48,-2255.35, 14827.42, 4293.29,0.66,#ffffbf
body,1.6103825373548888e+30,-2991597893360.77, -420059528076.21, 542079894811.46,-2856.36, 35800.73, 5134.19,1.48,#ffffbf
body,1.3401837833390714e+30,-2258208935381.74, -2017905837491.69, 357465676770.56,-3147.32, 33489.31, 2876.94,1.42,#ffffbf
body,2.9058765893128535e+29,-2722378834082.48, -1756903050545.07, 205716342818.51,-2735.28, 11201.99, -765.33,1.88,#ffffbf
body,1.54409476905066e+30,-1516723992634.55, -1458166142064.43, 416775900826.15,-2837.52, 2110.55, -133.82,0.88,#ffffbf
body,1.7054219557864682e+29,-2624587700019.96, -2854499643352.04, 977964803623.18,-3647.65, 11493.47, 2690.08,0.78,#ffffbf
body,7.333200391031753e+29,-3035672088208.82, -2522990407483.86, 671223230879.27,-2163.0, 12148.36, 2087.41,1.06,#ffffbf
