#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,1.9488022609563027e+30,-1554559371827.69, -1512126091871.01, 965533102216.53,-26.51, 916.84, -54.77,4.23668312906794,#ffffbf
body,7.904796927721598e+29,-1794503380504.48, -1426624499226.36, 295159304180.37,-6359.66, -8156.69, -1675.3,4.760902448508171,#ffffbf
body,1.317119609705954e+30,-2433588726665.36, -1430385718263.18, 382123500882.92,-5169.56, -10610.41, -1479.72,4.671255464884264,#ffffbf
body,7.0101162133567114e+25,-1809564499059.25, -1895915929333.9, 144370267061.27,36.49, 78.94, 9.15,2.641232196408726,#ffffbf
body,1.429798381132897e+30,-1824386120347.12, -1389608897912.97, 467161790924.06,-5022.03, -9593.36, -1102.93,3.2896543523816524,#ffffbf
body,1.2277680387310546e+30,-2035764274707.8, -1328981384899.59, 866001420393.82,-5012.44, -10874.1, -1439.12,5.553158453268489,#ffffbf
body,1.9229067855704003e+26,-1435537276191.89, -1377596167431.76, 877638805747.56,97.78, -209.91, 74.54,3.120247820229123,#ffffbf
body,7.926622807221663e+29,-1946665588006.93, -1435403523741.54, 785146560595.92,-6412.93, -8037.35, -1225.9,5.701864622360564,#ffffbf
body,5.530656152148746e+25,-1651690629680.85, -1265929180724.47, 604895742611.22,44.05, 382.72, -62.0,4.5836748242930625,#ffffbf
body,4.345913094444001e+29,-1857090092505.59, -1616127234650.52, 361392250683.24,-6044.93, -11069.4, -1787.45,6.080404553145952,#ffffbf
body,8.038643200426683e+25,-1752822579395.54, -1517160921182.93, 1089061560895.62,68.26, -873.73, 76.26,3.8193977381150432,#ffffbf
body,8.540644605585251e+29,-1634896635534.91, -1207999269005.24, 1054744198937.75,-5427.14, -8674.97, -1724.69,6.349157316780261,#ffffbf
body,1.0916391543708052e+26,-1724374627783.53, -1449112116046.09, 394623344167.95,51.05, -876.55, 16.32,4.325349443708894,#ffffbf
body,2.0601958578800497e+26,-1739288180754.44, -1498425427845.0, 842679174614.31,-88.97, -385.36, 50.75,4.139505098191353,#ffffbf
body,7.066114586065695e+28,-1597637007174.73, -1410026882634.76, 1095725694162.87,85.85, 805.26, 57.66,5.062324878642999,#ffffbf
body,1.245605428578636e+30,-1492248453923.53, -1553271946519.4, 294550482188.83,-5045.34, -8672.33, -1405.94,5.874715143205771,#ffffbf
body,9.844626594160267e+29,-1875990774121.01, -1468063095271.47, 204974769581.11,-5661.6, -11131.76, -1400.39,4.8587011141043615,#ffffbf
body,2.7743943070855497e+26,-1765769287824.46, -1596130036157.1, 352894197174.56,6.16, 88.56, -1.12,4.036147997651287,#ffffbf
body,1.8205650411491978e+26,-1896505625074.8, -1763659292032.0, 757260517644.29,-40.0, -668.09, -83.87,5.287550189718313,#ffffbf
body,3.2670733601522235e+29,-1695619792747.75, -1569194069198.88, 564287227065.62,-5372.16, -8143.73, -1652.13,4.956114890365455,#ffffbf
body,1.3806793721443085e+30,-1617540009503.44, -1496588865612.26, 545216341670.32,-5267.15, -11176.77, -1652.39,3.932404231874595,#ffffbf
body,2.423956524075241e+26,-1708469473821.86, -1302895391998.67, 869531363771.01,-32.91, -854.26, -68.02,5.17022322151038,#ffffbf
body,5.038215939028351e+29,-1839939196133.85, -1574990288592.75, 490176463123.29,-5362.09, -8911.33, -1105.15,3.5822878974555454,#ffffbf
body,2.169490044991048e+26,-1666068149997.07, -1593988823918.01, 319903943888.74,-6162.44, -9103.18, -1676.65,2.017500778017479,#ffffbf
body,2.9079750889590902e+26,-1681131766934.27, -1695771592537.25, 836827446714.54,49.49, -21.34, 69.22,5.41227278378335,#ffffbf
body,9.876121068847914e+25,-1576439393820.94, -1633891734442.47, 196915539116.17,-95.82, -818.36, -35.6,4.41294052809074,#ffffbf
body,9.835390184641692e+25,-1779242870499.61, -1242376571298.72, 546134538017.37,60.86, 667.57, 47.68,3.704032212500694,#ffffbf
body,1.3194127943792145e+30,-1528731835544.8, -1570734766384.0, 622642237101.66,-6455.36, -10019.52, -1734.92,2.907192408929046,#ffffbf
body,1.4590128056187786e+30,-1982625967641.22, -1614901197759.18, 946463170308.37,-5417.69, -10410.41, -1990.32,4.500015373342335,#ffffbf
body,1.4232896680125297e+26,-1919530220081.97, -1379246741516.97, 260099321224.2,75.56, 2.29, -94.4,3.443623477709355,#ffffbf
