#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,2.853357184742505e+26,-1650822611437.79, -1519612088868.13, 1001554451726.92,-312.05, 14290.14, 4397.57,6.203937330463816,#ffffbf
body,3.2171938695608705e+26,-1838881083798.08, -1585321560789.12, 917591304247.84,-3836.33, 35609.69, 625.19,5.546758896881288,#ffffbf
body,2.4938545060456447e+26,-1766267488493.99, -1100867302256.55, 871877096336.14,410.98, 1625.96, 4770.52,4.752514993214137,#ffffbf
body,1.5422437303208248e+26,-1711094586528.95, -1629369329084.87, 548075365465.12,-2158.81, 1698.68, 6134.82,4.843033469354708,#ffffbf
body,3.1493905337334776e+26,-1779098726675.57, -1600895923900.71, 893476956295.57,-980.84, 29672.19, -520.63,4.481840662463538,#ffffbf
body,2.3880797083348717e+26,-1738983669865.84, -1701591803969.04, 566754070470.4,-84.5, 30004.53, 4596.8,3.751701022683162,#ffffbf
body,3.181245040051615e+26,-1492540697214.01, -1705989584765.21, 1204401152815.1,-5772.96, 21562.15, -29.34,3.876930029745185,#ffffbf
body,2.90707065449782e+26,-1437964254155.9, -1426872948086.45, 859729213836.25,-3364.04, 3464.71, 449.72,4.933466082755627,#ffffbf
body,2.9840343594274068e+26,-1792597735019.45, -1449777647001.23, 973094078563.64,-2636.79, 12227.02, 4459.96,3.9917077193358703,#ffffbf
body,3.256509174095432e+26,-1530645175144.33, -1468146468240.98, 44661854623.11,-4319.07, 27577.04, 4538.65,5.991841770225127,#ffffbf
body,2.824975973755575e+26,-1557076802345.73, -1662687533428.57, 1145725099590.24,-539.97, 32695.0, 1733.49,5.433558539656417,#ffffbf
body,2.6582884934901926e+26,-1857073335149.0, -1497223748640.96, 440525020254.39,-2408.52, -10524.09, 1633.71,5.120236444446279,#ffffbf
body,3.0364421274202736e+26,-2034333833198.01, -1225936348534.9, 892515111741.44,-1923.31, -7615.46, 4932.2,5.3244805890123335,#ffffbf
body,3.525621172651644e+26,-1982036224293.43, -1929790988629.76, 1272211018.65,-5534.96, 37792.88, 2070.72,3.285957613692564,#ffffbf
body,2.7959154556910004e+26,-1635020947259.46, -1424832234180.88, 236222652358.32,-6027.2, -10488.25, 335.43,5.219449974470751,#ffffbf
body,3.06307383938614e+26,-1724754977044.57, -1500931737619.77, 796062378852.89,155.44, 23986.47, 5785.05,4.390604160683729,#ffffbf
body,2.8806159730352005e+26,-1666813535745.09, -1462383763557.62, -54548835916.64,-5035.67, 33539.35, -1864.51,2.001801523593121,#ffffbf
body,2.958353637170542e+26,-1681928482938.07, -1358639342256.21, 1079156057265.73,-3130.92, 33535.84, 3454.31,3.4643470424552163,#ffffbf
body,2.7325332307993617e+26,-1874805812877.66, -1637091579634.4, 458139149507.46,-6486.96, 35303.51, 3086.34,3.0577430847120586,#ffffbf
body,3.0908110840979664e+26,-1896373455778.11, -1313748937051.7, -50318225136.49,-1682.04, 14859.99, -263.07,3.614972009749325,#ffffbf
body,3.119496023573019e+26,-1823400616599.27, -1565239212426.81, 747246990889.06,-3597.1, 6916.76, 4237.14,5.026264332321138,#ffffbf
body,3.300436915555526e+26,-1807306270682.39, -1324427148886.27, 774001907784.16,-1468.72, 14196.55, 3165.02,4.201575965807972,#ffffbf
body,2.765926322988036e+26,-2410893436700.34, -1561151800711.23, 953211529794.2,-4071.18, 31477.92, 6002.38,4.098425832162855,#ffffbf
body,2.696915535251169e+26,-1580085166670.48, -1544889357904.97, -25228026382.99,-2904.32, 21774.99, 1601.83,6.482573489351962,#ffffbf
body,3.35370199033261e+26,-1618077836231.48, -1481695487343.95, 97503781827.36,-4575.47, -1137.75, 1603.56,4.295470080636029,#ffffbf
body,3.422700452035529e+26,-1752096873846.04, -1711033441256.5, 390254625571.17,-6263.77, -11349.12, 6717.79,4.573978809657031,#ffffbf
body,2.9331149802982807e+26,-1697534100829.12, -1632634116048.23, 804545882600.19,-762.85, 20105.23, 6318.46,2.732868433898288,#ffffbf
body,2.561847939391239e+26,-1598553289530.25, -1562080462609.93, 889040414159.67,-4787.73, 9911.83, 6526.83,4.663969643163252,#ffffbf
body,2.6132990246548873e+26,-1948028844890.38, -1585647795692.6, 77385849345.78,-5280.93, 16591.26, 2981.86,5.677006382950885,#ffffbf
body,3.0101004070605138e+26,-1922041301146.46, -1372403303748.18, 745311949372.03,-1229.97, 28279.46, 4685.56,5.823030286881529,#ffffbf
