#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,1.5725426804373853e+26,-1912739321919.05, -997499434038.32, 314455081579.68,17.5, -935.16, 98.09,4.653183951476565,#ffffbf
body,2.299453193456497e+26,489102093480.17, -2235274109021.17, 897018378806.47,75.71, -922.77, -51.66,4.157853372409957,#ffffbf
body,1.391994413428165e+26,-2777772319660.82, -2312126644061.15, 639342315440.74,73.94, -867.21, -59.18,2.7305869690053584,#ffffbf
body,2.5968367571132865e+26,731783438634.41, -2479769703339.49, 365677403466.3,34.8, 118.35, -80.82,3.7969098030275834,#ffffbf
body,2.5287332888400544e+26,-2632105351444.79, 715306534790.03, 532845954232.01,-57.04, -97.86, -31.06,4.197792277319474,#ffffbf
body,1.771379633229395e+30,-4377715907814.57, -2635777927061.23, 105369472011.23,-6459.54, -8504.1, -1338.51,3.6386496382495808,#ffffbf
body,4.3725735916402765e+27,-728439762428.21, -2876259256938.07, 248640332286.12,-5065.04, -9303.66, -1289.19,6.407445873533481,#ffffbf
body,6.990292549725459e+29,-4064428173992.54, -2484141242890.88, 338548338860.21,-5412.32, -11163.81, -1819.31,5.892708878338179,#ffffbf
body,4.9924952128234334e+29,894059208804.0, 414010136219.09, 1260785500576.45,-5239.56, -10591.2, -1967.71,3.8928891793397384,#ffffbf
body,2.272342418095557e+29,-3897294974445.3, -1407949065279.01, 244007743617.08,-5506.27, -9587.25, -1524.53,4.541254920309827,#ffffbf
body,2.0354126499203872e+26,-2318271111168.09, -3086398187048.83, 431226297908.62,-6131.4, -8067.48, -1685.01,5.369779008558071,#ffffbf
body,1.901399231271736e+30,641043770996.99, -690235528411.46, 420716111468.35,-6191.37, -8002.08, -1204.33,5.161932104561428,#ffffbf
body,6.98133712066012e+29,252699762895.47, -539726626612.23, 792744701191.99,-5087.47, -11088.33, -1188.25,5.542900764140125,#ffffbf
body,6.2578375215636445e+28,-1671916033204.98, -3397318225881.15, 498125091453.47,-5179.59, -9442.62, -1704.14,4.690521217753085,#ffffbf
body,7.527130967631489e+29,-1129350800244.9, -924283588738.53, 801553477345.0,-6072.86, -9854.98, -1685.45,6.063964477056119,#ffffbf
body,1.165766479456113e+30,966413095431.98, -3283996063635.09, 296335451246.8,-5016.06, -10363.92, -1649.07,6.164273727397159,#ffffbf
body,1.4728145061248782e+30,-3081000345600.38, 653141793404.5, 975087826658.96,-6002.88, -9244.03, -1426.48,4.431843426395467,#ffffbf
body,6.080238252124573e+29,-3155397410749.2, -1604630753669.71, 817774711117.96,-5733.03, -9594.14, -1014.61,5.067005171893431,#ffffbf
body,1.1254925180541065e+30,-3637907295399.76, -346538261565.48, 1187856451173.27,-6257.62, -9671.98, -1421.15,4.071366644526819,#ffffbf
body,3.4925776025459337e+25,-2148355123809.62, 386913004024.48, 1080128636165.82,-0.16, 170.52, 43.69,5.26054157317644,#ffffbf
body,1.1059507591149148e+30,176491578747.21, -626005408474.57, 63973062189.48,-5876.9, -11075.1, -1407.79,3.1985848184660517,#ffffbf
body,1.3539402251392828e+30,-640724657777.33, -43611113592.26, 313531032118.01,-5298.88, -9628.91, -1752.28,3.5253321121834027,#ffffbf
body,3.92606202923529e+24,-1435768994695.76, 261242505716.02, 959520373716.4,26.39, -701.11, -65.35,3.4670689482360024,#ffffbf
body,1.7577441209659298e+30,-73609396829.46, -436253727466.66, 486033256773.32,-5120.22, -9141.24, -1568.35,4.238218801734534,#ffffbf
body,2.7172161547213787e+26,-2933937172027.34, -362038547126.41, 207967271434.42,46.33, 211.06, 10.63,4.468626489294367,#ffffbf
body,5.051095471700271e+29,-1760471213830.78, -2573998509965.04, 1076685942337.9,-5767.08, -9434.15, -1334.66,3.4060948160638578,#ffffbf
body,1.5862384649182682e+26,-1513164421285.86, 170687051572.49, 295691956093.45,-39.54, -316.88, 91.59,5.4261760157049235,#ffffbf
body,1.1618907324370809e+26,-879334657890.31, -1700407354428.08, 612684579359.55,-59.44, -135.4, 64.22,4.113768175644671,#ffffbf
body,7.979251098222804e+29,-1998544258385.98, -1437635471470.0, 802702396298.38,-6063.65, -11291.72, -1793.77,5.02183274159953,#ffffbf
body,1.5482067752836412e+26,-2237607550860.11, -28242159215.15, 884872515696.9,13.1, -664.21, 82.89,2.8446369906084206,#ffffbf
body,2.2803393662298347e+29,-3735902556088.04, 268893705004.98, 826082971964.35,81.42, 40.96, 25.11,4.278213695967336,#ffffbf
body,3.1444347953747093e+29,-3815214459691.17, -192421649411.15, 541446660404.77,-5469.87, -8792.78, -1288.14,6.2741163833378755,#ffffbf
body,1.0215452944885547e+26,-239725145676.89, -411365691650.18, 210228650714.9,-5379.9, -10940.29, -1477.08,4.728815180536777,#ffffbf
body,1.565337704281168e+26,-1277931669403.21, -122225500707.26, 709854822496.74,44.84, 9.91, 70.37,3.9381297954856995,#ffffbf
body,8.819297789136928e+25,-4143357751216.16, -2962196408157.68, 589116995030.17,-5702.79, -10796.09, -1601.6,4.02852734836228,#ffffbf
body,1.4908683413568988e+30,-1590260753882.76, -821083180680.59, -34054462027.56,-6134.25, -9090.23, -1689.68,4.577517785578201,#ffffbf
body,1.472119283583953e+30,561568557486.04, -2306686820498.59, 396655733789.45,-5933.12, -10234.09, -1122.9,5.8144666163398355,#ffffbf
body,2.17826664053787e+26,-3316280311675.72, -401241772010.79, 395936472790.84,37.69, 718.38, 34.51,5.313737887166997,#ffffbf
body,2.8930774873581884e+26,-566009405115.39, -2614473837828.25, 1077832712056.64,-47.24, -853.58, -6.1,4.9355901307604935,#ffffbf
body,1.7027987581236993e+30,-816649928116.7, -329335596307.24, 824209910182.54,-5996.61, -10999.11, -1459.8,2.9489298596864892,#ffffbf
