#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,3.5407346755697706e+26,-3479552264258.08, 51530302219.45, 718322776078.77,-177.63, 22827.98, 2239.54,3.4439189859071813,#ffffbf
body,2.4730330074970537e+26,393221013168.65, -834448206730.0, 215260066184.32,-1949.64, 23459.14, 5622.81,4.76461785613722,#ffffbf
body,2.507523903933089e+26,-1211913921.81, -1998554132332.05, 1055128828918.86,-1185.4, 22635.62, -570.9,4.535166820604193,#ffffbf
body,2.833592922546244e+26,-4066618675119.56, -206243517376.09, 451936277844.76,-557.92, 30517.93, 4172.01,5.985441039613021,#ffffbf
body,2.89130496347114e+26,-2501062632763.19, -3118246404181.84, 377792985084.98,-3359.36, 33358.12, -284.6,4.9212278712265105,#ffffbf
body,3.0591445595982472e+26,-1245672412850.48, 160762907517.13, 284981428532.04,-5184.77, 24735.13, 4628.15,4.216096136711325,#ffffbf
body,3.2682956113762045e+26,-150701195482.38, -2374160493480.21, 63081771472.97,-1506.71, 16635.66, -283.52,3.2878701797860286,#ffffbf
body,3.172666050798472e+26,-676622420291.12, -1079829990240.28, -16615910132.33,-3270.54, 35664.92, 5566.88,6.716628274516143,#ffffbf
body,2.628800272385759e+26,-1827496490032.98, -1969103852039.99, 514606390557.62,-1289.23, 11770.72, 4795.49,5.040552818321325,#ffffbf
body,2.563539408660585e+26,-1175796808441.38, -1290829294409.07, 384727209468.24,-2736.14, 10453.24, 2479.75,4.725244086296306,#ffffbf
body,3.0361181698980496e+26,-277667502380.77, -3563886594110.0, 618001481037.35,-4512.4, 30439.4, 614.23,6.535105173748753,#ffffbf
body,2.8098478361177227e+26,-3166384809477.32, -2989990560392.6, 542039386257.79,-1554.88, 18587.24, 1930.95,3.6986170798713265,#ffffbf
body,2.6824999811104593e+26,-956974853759.23, -971794465701.25, 302363869525.42,-5718.48, 18258.53, 4498.19,2.98876922218221,#ffffbf
body,2.3740164402960572e+26,-1385345208998.3, -1321741954956.0, 773030427640.54,-874.77, 5036.95, 4190.44,5.440584895110982,#ffffbf
body,2.9799647848966365e+26,-2746192489587.73, -933138063724.18, 319094541489.21,-3557.83, 16510.51, 610.65,4.689034893338355,#ffffbf
body,3.1584446235653276e+26,-2996791712668.51, -2630081143345.54, 245450505749.25,-987.32, 731.53, 1480.66,5.770967671345206,#ffffbf
body,3.187085414870739e+26,-2049293639894.44, -1856192674212.93, 270540814756.05,-1235.77, 14156.57, 2728.32,3.5150120498191906,#ffffbf
body,3.328802982143292e+26,-1768523130626.15, -1799125770420.63, 698981416493.68,-4363.25, 25341.97, 4375.57,3.580212440730967,#ffffbf
body,3.0131592384143792e+26,-3527557962586.4, -628492312297.01, 883675842596.2,-2812.73, 10175.39, 5064.24,6.16249064646451,#ffffbf
body,3.071233712670647e+26,-1584669186828.49, -2177147409917.77, 1037169084179.24,-1455.66, 37254.93, 2456.1,5.122982813982962,#ffffbf
body,2.2831682054036462e+26,-3244247170224.7, -2148876915918.39, -25558157072.3,-2387.77, 20046.1, 3358.34,4.574914269711869,#ffffbf
body,2.729091802104165e+26,-2455456400669.1, -157812807224.32, 189102561242.87,-387.72, 7814.15, 3128.83,5.392682860704599,#ffffbf
body,2.845734905401373e+26,-2407334861736.59, -2917889249062.68, 421456537355.28,-4244.98, 23365.44, 205.39,6.069480198156393,#ffffbf
body,3.132540653254533e+26,-2160359248426.22, -1249182612823.54, 1131393687575.73,-2318.12, 32402.17, 5896.04,4.61244759599591,#ffffbf
body,2.647561779507824e+26,-4198207534117.58, -2057307259515.14, 816631428907.62,125.18, 27350.22, 1945.24,2.6794293785916077,#ffffbf
body,3.444318259177454e+26,-2357130836223.17, 581270007350.54, 725694610536.4,-3668.52, -4410.54, 4396.55,3.1998893852852923,#ffffbf
body,3.2176326705729635e+26,-2552101243567.62, -2800469391983.39, 562168802452.95,-2179.54, 4720.29, 2940.71,5.34494604009596,#ffffbf
body,3.6268730547177886e+26,-772336103296.95, 25184552251.77, 849411485395.69,-809.68, 34281.22, 5341.15,3.1023951419719906,#ffffbf
body,3.024736538589151e+26,-2652336588968.98, -1429821681208.62, 1083928689907.33,-2525.22, 26915.56, 5082.76,4.044465104529391,#ffffbf
body,2.6089507010414132e+26,-2955539750675.74, -2423504245150.15, 1132780198587.09,-1399.21, -24.83, 2521.57,5.253212342770707,#ffffbf
body,3.0952822746362586e+26,-1105823616768.14, -1104744154992.18, 212557237561.39,-5423.66, 24171.19, 5991.96,2.8537778861971455,#ffffbf
body,2.665620551902094e+26,-1884475469488.47, -2610845812280.2, 400877634464.75,-684.87, 29943.7, 278.33,2.44109099489028,#ffffbf
body,2.5866272788046214e+26,-3037240335139.09, -3269783883513.42, 579660254221.41,-2014.03, 26969.77, 3007.0,4.298505363179275,#ffffbf
body,3.120035614433282e+26,-2918687300522.4, -2500908151391.03, 411940783601.01,-1889.02, 25852.18, 5693.19,4.457587532614058,#ffffbf
body,2.7144590917116048e+26,-3711999236055.9, -2076014438591.29, 184786440538.79,-6434.2, 32087.86, 2765.77,3.9992376716659317,#ffffbf
body,3.2026777121357137e+26,164859388086.69, -1065894117942.02, 1020800733334.27,-928.97, 14846.04, 6142.26,5.209445017606515,#ffffbf
body,3.380135247231209e+26,-3330615413810.33, -2926627364225.59, 960983295947.31,-4992.88, 5680.17, 2066.62,5.837398476201483,#ffffbf
body,3.1075564518816765e+26,-1033720246214.88, -3252058174723.66, 604817282383.52,-1089.01, 29598.35, 4703.09,4.881742848580507,#ffffbf
body,3.2502706651260635e+26,-3637574290862.48, -1784095088371.22, 1165242640116.0,-3114.06, 23114.26, 3883.12,5.297792743697649,#ffffbf
body,3.409319115973669e+26,-396689822385.31, 84845311930.6, 792962390000.3,-4833.56, -19.54, 2638.19,3.8073433799241707,#ffffbf
body,3.307398588512585e+26,-2792545127273.75, -2191701324885.57, 365121551784.05,-1143.09, 36126.8, 1249.29,3.641247776375576,#ffffbf
body,3.0831029099054602e+26,-485745424998.31, -2576899855328.81, 239769952534.36,-1611.16, 2863.85, 4336.84,4.131758435369838,#ffffbf
body,2.6987444982687306e+26,-3288433356143.07, -972512441148.35, 211158270487.57,-1715.94, 18894.47, 3730.34,3.858720344613628,#ffffbf
body,2.5378276629589787e+26,-3863123719288.36, -1679556313946.6, 474912395243.41,-2593.24, 39578.39, 1391.92,6.267228032325477,#ffffbf
body,2.743836671833757e+26,-2261605438178.84, -2113064973801.59, 664244022679.03,-1667.91, 16546.54, 3637.3,4.6518941476182665,#ffffbf
body,2.9690505442307706e+26,-2001628441795.04, -3558853828766.95, 600036499480.0,-472.46, 22428.53, -1339.17,4.087948149128233,#ffffbf
body,2.7580159164454986e+26,-3121567783661.87, -1856898332275.49, 985607247668.65,-3949.66, 32967.7, 2887.17,5.4902325989215575,#ffffbf
body,3.0021155554281823e+26,-2877767851659.57, -3175617085939.15, 224956921215.32,-751.74, 30648.74, 5745.35,5.542076890532458,#ffffbf
body,3.145035015278966e+26,-1454132824861.0, -2994467963350.75, 258371125066.82,-2667.47, 11198.48, 4917.15,6.3852895592023,#ffffbf
body,2.8569256440035995e+26,-3430196492657.88, 186808882102.09, 198791954279.92,-290.39, 17188.42, 1004.63,2.0001262608051795,#ffffbf
body,2.9022977529798236e+26,-2836613640457.07, -2222001323969.73, 673489338904.72,-3761.65, -3865.21, 5447.73,5.081437835251,#ffffbf
body,2.7711354833073502e+26,-585629185178.97, -1219306826911.64, 315327298959.7,-41.57, 28442.83, 1983.39,5.0004695711554,#ffffbf
body,3.233426436409994e+26,-3376407496184.9, -1244692902958.03, 810515333286.05,-4033.08, 28910.82, 1103.8,3.367572940769739,#ffffbf
body,2.8216674651109647e+26,-3200583937751.89, -1128538411028.18, 332161104305.57,-2887.25, 21480.04, 5149.33,5.709936800296247,#ffffbf
body,2.4296374312099963e+26,-1943872679784.92, -2407679012869.45, 608550650948.82,-1825.02, 10454.85, 762.18,3.7553218712727467,#ffffbf
body,3.353947733524107e+26,-3583936907394.4, -926387498921.56, 295903733206.43,-1349.4, 25962.52, 3169.59,4.338514252892159,#ffffbf
body,3.047618812233593e+26,-1309983490642.91, -2786022414468.86, 658806123732.89,-2065.45, 8994.19, 1792.39,5.651904256272203,#ffffbf
body,2.9359702856342103e+26,-2100740224650.15, -3205257474144.21, 798044771062.72,-623.69, 22609.43, 5312.55,5.167058443539641,#ffffbf
body,2.9580922810666406e+26,-2213786103918.54, -1854630248533.68, 939869710614.05,-2460.75, 27843.9, 2717.47,5.596070374815648,#ffffbf
body,2.9469800829759507e+26,-3077835789800.55, -3220103845482.54, 815994293830.94,-3454.47, 11645.99, 5303.45,4.174665345524378,#ffffbf
body,2.9135295907639853e+26,-3957310318776.6, -1457531985181.14, 755088205990.79,-4674.68, 33134.82, 1991.38,3.9545529853267185,#ffffbf
body,2.8796113976568407e+26,-2311513158108.48, -1371589050186.92, 334340852131.89,-1037.31, 26829.83, 4740.09,4.257161481605455,#ffffbf
body,2.784569267446073e+26,-1703240630635.46, -2985305599966.92, 708954647004.81,-2248.63, 26437.74, 2757.92,4.8423932279864985,#ffffbf
body,3.2880883313165985e+26,-1648435905912.1, -250269775711.42, 682670915345.3,-3044.12, 17164.55, 4924.62,4.497333966433461,#ffffbf
body,1.661032683272011e+26,-2599760812016.49, -2870878894209.44, 607266327979.13,-2122.39, 9559.9, 6655.29,4.958846405854989,#ffffbf
body,3.48636599791857e+26,-1517755474710.75, -853247514545.29, 514651490881.63,-2976.67, 9837.19, 3696.33,4.803268932557597,#ffffbf
body,2.9247243695381177e+26,-2697632188404.76, -2843025940530.14, 898817006258.59,-3861.15, 14362.82, 4882.03,4.417732169978805,#ffffbf
body,2.9909473054781958e+26,-871854975326.7, -3116046437554.07, 507894543704.64,-1767.49, -3802.81, 5076.41,4.3779299099523294,#ffffbf
body,2.86822546995639e+26,-4517589357873.36, -2254177157650.28, 561380456686.24,-4142.45, 34665.07, 1895.55,5.908910582249344,#ffffbf
body,2.7969950261967804e+26,-3786335708406.72, -3553449310646.81, 356678376446.76,-3188.12, 32291.11, 353.52,3.9073637099966634,#ffffbf
