#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,1.4170273845875565e+30,-3819472354781.83, -3265853833668.43, 1020630352192.94,-988.45, 18936.9, 5520.4,5.3420318860502904,#ffffbf
body,1.0288953879766817e+30,-3252124252092.7, -1920955758215.59, -47603358733.54,-3331.58, -156.77, 5414.97,2.839655227609781,#ffffbf
body,1.177879193763126e+30,-1921672383463.03, -1085036029749.13, 1219561244325.88,-317.57, 37485.49, 901.07,4.340140983744249,#ffffbf
body,8.540503550041422e+29,-3638412054417.64, -3878348526150.08, 412772289735.84,-696.08, 16453.97, 509.0,2.0000287616626986,#ffffbf
body,9.96064284963469e+29,-3446679550251.73, -500419847611.88, 312595355540.8,-1988.21, 25504.27, 4689.36,3.4984228891901683,#ffffbf
body,1.3118229168339258e+30,-4000444579711.41, -1656202347914.46, 99584702045.16,-2444.02, 7359.99, 4160.56,3.668886480630304,#ffffbf
body,1.7346603092780433e+30,-4191112490909.44, -440882813161.6, -42713525138.82,-2952.96, 20047.0, 1420.41,5.177108434471791,#ffffbf
body,8.140019479561396e+29,-84346660354.4, -3503156414378.32, 601755053767.53,-3524.85, 29304.7, -1604.58,6.8335590798071175,#ffffbf
body,6.846342755103576e+27,-2662270980216.3, -3556130905308.17, 823357782344.79,-4274.64, 31803.05, 2764.54,5.509831013757834,#ffffbf
body,1.5470880880760857e+30,313693460319.57, -3159543940622.74, 305566804134.47,-4009.19, 12696.41, 1236.52,4.177043694552534,#ffffbf
body,9.626436614563136e+29,-2292741931655.55, -554937385454.35, 722464416131.48,-866.99, 15135.21, 5788.55,4.50606564300433,#ffffbf
body,7.287119782316699e+29,-986934239168.13, -996946595881.75, 506479956720.74,-2281.15, 31048.23, 4362.8,5.006853714378128,#ffffbf
body,2.5574907440971954e+29,-2841605199510.98, -1432503702283.09, 439503212081.55,-522.29, 25747.0, 3694.02,6.667526865090085,#ffffbf
body,1.1379678283897671e+30,-2104642366909.97, -1473177361368.03, 468743328249.79,-1585.89, 7593.68, 5881.54,5.99603843793953,#ffffbf
body,1.0998693981851083e+30,-451782006483.05, 276047322895.01, 654581426987.12,-6471.81, 13784.55, 4204.26,4.836338034835526,#ffffbf
body,1.3628089255408404e+30,-4549073767444.88, 793293769273.67, 1057749473426.28,-3137.92, 6038.4, 3109.44,3.3368850509323202,#ffffbf
body,7.724907525473716e+29,-1175473208866.81, -3549154576293.4, 1017194381384.27,-2609.0, -2166.85, 828.74,5.836980320728258,#ffffbf
body,5.7639698874535455e+29,-1544852951558.24, -3187093053849.86, 670050419827.25,-4952.83, 30336.85, 3374.78,3.171551756301072,#ffffbf
body,6.317076871220043e+29,-811602382681.81, 316961148213.76, 163677171892.76,-3749.18, 3179.47, 1966.98,2.503101076808709,#ffffbf
body,3.611042354079688e+29,100809282738.11, 318614632694.36, 181772063254.36,-5418.38, -3552.13, 1876.07,3.8338403044870857,#ffffbf
body,1.6279113487069383e+30,694984635806.59, -2336949956247.05, 759637703286.26,-1109.05, 14528.08, 2190.47,4.6698525822834505,#ffffbf
body,8.926496229944277e+29,503586980407.85, -1858316996785.64, 646799927436.69,-56.24, 1923.34, 3593.19,6.3291680141030255,#ffffbf
body,4.443365282502202e+29,-642330532464.71, -341789874708.01, 1243242192996.48,-2137.34, 20292.38, 4510.85,2.3358851776446494,#ffffbf
body,6.817087680559463e+29,-3054376700991.12, -3298821866069.8, 514973632439.48,-1227.95, 30275.89, 3631.56,6.500925033565942,#ffffbf
body,1.478353393697259e+30,-1364803318151.77, -2411236629644.98, 996287897612.4,-1708.33, -394.05, 4599.6,3.0062283877921105,#ffffbf
body,1.0637559335030533e+30,-268457011809.96, 150282259672.86, 1277338066976.94,-2784.39, 3494.49, 6098.12,2.165439591722898,#ffffbf
body,1.2647262924723637e+30,-4371947518081.53, -89218685392.83, 593313751107.37,-1843.26, -5668.27, 3918.82,5.67426188008556,#ffffbf
body,9.282094782215555e+29,-1732248400890.15, -979820950549.24, 643975344981.9,-1340.45, 31261.92, -1123.02,6.16202712240991,#ffffbf
body,1.219757403774081e+30,872906061309.95, 335732414591.48, 1261011987755.5,-4580.65, 11091.2, 5479.98,4.00541381747243,#ffffbf
body,5.136237287006661e+29,-2465835116375.59, -486748538437.63, 69992219835.35,-1461.63, 21411.54, 4654.17,2.6665954013449777,#ffffbf
