#Name,mass,position_1,position_2,position_3,velocity_1,velocity_2,velocity_3,diameter,Color
body,1.097899381964085e+30,-1747639627356.46, -1227022693209.25, 68387383756.86,-4732.58, -9609.89, 157.5,3.925485479682683,#ffffbf
body,9.592105111435917e+29,181099948153.14, -2011241728542.11, 462472673452.44,-509.32, -4971.34, 1702.69,5.719193088914812,#ffffbf
body,1.0272980357261631e+30,-2490845339313.41, -1605163537756.38, 670731587147.52,-5149.96, 20669.14, 4684.18,2.907942809404261,#ffffbf
body,6.797232710506985e+29,-922966805253.47, -2575407186376.79, 486062621154.48,-2902.36, 25547.03, -57.97,5.887734969000845,#ffffbf
body,8.884646488077956e+29,-2134717263032.2, -2842078347287.45, 847391190327.54,-2518.78, 18421.41, 3966.33,3.11352904340358,#ffffbf
body,1.5390774029149683e+30,-4044763249735.78, -2764816326055.38, 941757628517.67,-3065.24, -1337.03, -172.94,5.428779355646096,#ffffbf
body,1.2154461054846266e+30,-177236200189.77, -2627833552574.21, 206799306910.68,-3392.43, 1181.93, -102.48,4.232343083805847,#ffffbf
body,5.161994437091982e+29,-3011236268515.13, -3234866994746.09, 737015898991.25,-1888.21, 7710.83, -119.14,4.324449407176273,#ffffbf
body,5.76575967328682e+29,-1293288722736.28, -2349161751805.19, 800958134904.42,-5324.08, 15428.9, 2457.25,2.0060487523683683,#ffffbf
body,1.0619275761553795e+30,-3097239388162.42, -1195133896455.69, 210378621631.42,-3984.95, 4108.65, 2790.4,4.032624085226891,#ffffbf
body,1.3055725884727922e+30,-2606214360764.67, -1545350962854.19, 390727135191.71,-4367.27, -4748.97, 4958.07,4.853952971011336,#ffffbf
body,1.2593330011104836e+30,-4529421069583.62, 175528425823.34, 958069197549.83,-2715.63, 27695.74, 2263.87,6.357860779542303,#ffffbf
body,1.1354588846917189e+30,-2257505089668.97, -1569832199823.9, 563784515239.13,-4620.62, -3761.49, 818.44,3.6992011078573266,#ffffbf
body,3.673742084507498e+27,-1449564587027.57, -2441790977345.89, 112102558591.0,-4116.22, 26797.1, 6587.91,5.296497639096919,#ffffbf
body,3.661938171117809e+29,-2013834930790.8, -2649784457876.58, 954615905777.83,-4988.92, 31357.75, 3616.47,5.178059945213455,#ffffbf
body,1.7283358352090375e+30,-475127488012.26, -521210191904.13, 375080585280.84,-2313.3, 1537.72, 356.53,4.759100842794853,#ffffbf
body,4.4754000681786115e+29,-3413920639416.55, -1994809151070.89, 724816488223.52,-6475.27, 12394.78, -1864.32,3.814607914422732,#ffffbf
body,7.267696660731381e+29,-704300284216.49, -360005097316.32, 583822602852.11,-3700.09, 13450.92, -325.1,3.440537144380456,#ffffbf
body,1.4711210609682614e+30,-2709825101174.29, -1695810202081.8, 820197507105.93,-2109.52, 15406.73, 3887.31,4.668749427406253,#ffffbf
body,2.60095271919143e+29,-3675112545056.78, -368704277076.87, 362236281084.55,-1617.13, -4953.08, -495.75,4.955616345938317,#ffffbf
body,9.244544332345772e+29,-3830051893706.14, -1700688804799.77, 389782057523.35,-3548.09, -9400.08, 5206.94,5.062247532838574,#ffffbf
body,8.510261416961905e+29,-2910220762705.59, -1869755053081.94, 278368318494.6,-4492.58, 4358.65, 1782.92,3.575583693361504,#ffffbf
body,8.121507105126592e+29,-2371169776809.22, -1852292052766.82, 1181926798156.13,-5539.78, -663.91, 1058.24,2.638736804856321,#ffffbf
body,6.307217467241946e+29,-2814571126086.27, -581919748681.86, 205486028921.98,-4241.64, 9240.27, 3182.76,4.410413359383803,#ffffbf
body,1.3561079449940723e+30,-1595338004481.81, -1138875796958.65, 96973126354.56,-988.25, -1203.36, 1141.2,5.569385971860651,#ffffbf
body,1.1745430709873217e+30,-3533741736412.18, -1856591521805.45, 295025947188.28,-4861.33, -3372.67, 1391.5,3.289834308664854,#ffffbf
body,1.4110276222924627e+30,-3301400664070.3, -675719794761.33, 633344537724.25,-1321.12, 19590.74, 1458.08,4.135473605948793,#ffffbf
body,9.934753331276477e+29,-3190785521583.12, -2890645335584.66, 772010543214.87,-3229.77, 2178.03, 1892.34,4.495397828068093,#ffffbf
body,7.714556343033103e+29,-1122624846552.15, -1637422121040.65, 627513154240.14,-3846.52, -7036.51, 741.72,4.579492401485782,#ffffbf
body,1.6211096491192953e+30,-1881152037609.67, -1920361668253.32, 218047536594.69,-5828.33, 2034.29, -1609.07,6.095291460892473,#ffffbf
